l,TT
2,971.2330563669827
3,920.0421985481885
4,870.210301846008
5,832.5878489458385
6,806.5442452840797
7,789.7460722936032
8,779.4659352899956
9,774.3707720167198
10,773.1066342312649
11,774.3705320100493
12,778.7957929152275
13,784.5048573286155
14,791.3847469765333
15,798.4130175213128
16,807.2576240256576
17,817.7684934674386
18,828.8374860720221
19,841.240645785369
20,853.3762969606161
21,865.9381514703254
22,878.9491212504628
23,892.0219663609458
24,905.4765486621392
25,919.4468195053403
26,933.4430533224079
27,947.875774465695
28,962.5770477986714
29,977.4704658677698
30,992.7532813262793
31,1007.820770091945
32,1023.4779421227237
33,1039.1932371435355
34,1054.943188464169
35,1071.3099272278728
36,1087.3933848467545
37,1103.7148586390508
38,1120.3777462486075
39,1137.2895368727927
40,1154.3774549864704
41,1171.5613993521001
42,1188.843390551045
43,1206.2329801224937
44,1223.7768614988918
45,1241.5365849353393
46,1259.4762320888701
47,1277.578569163012
48,1295.8180339195098
49,1314.1839208497613
50,1332.7323796010035
51,1351.523115666966
52,1370.5037760141774
53,1389.6032783524026
54,1408.8025387422076
55,1428.0973298181987
56,1447.599589224693
57,1467.4105006587613
58,1487.487420521882
59,1507.7431348948853
60,1528.15728477191
61,1548.736894148289
62,1569.4870945252194
63,1590.4255436742574
64,1611.5550423671132
65,1632.9006761171581
66,1654.4994941382927
67,1676.3324044875035
68,1698.362565513758
69,1720.545706891652
70,1742.8524146745392
71,1765.2609443128424
72,1787.8842267067394
73,1810.8354338199779
74,1834.1237404244098
75,1857.7508926671505
76,1881.6725531772486
77,1905.7640482084662
78,1930.010615889012
79,1954.4569209487997
80,1979.1253428890616
81,2004.0403954727717
82,2029.2128449468391
83,2054.6184501183016
84,2080.25525476586
85,2106.1138742648614
86,2132.1895653336983
87,2158.451580068492
88,2184.8812403100865
89,2211.48958134965
90,2238.2802102015744
91,2265.2636316557923
92,2292.440799585228
93,2319.8269940312152
94,2347.4152101427126
95,2375.220728295272
96,2403.236544005221
97,2431.4630813444533
98,2459.9081929522313
99,2488.5500182936903
100,2517.4038388197278
101,2546.462651170509
102,2575.7268805798344
103,2605.182095825614
104,2634.8287226300026
105,2664.659758605734
106,2694.6682016014865
107,2724.8470496951236
108,2755.1818728349185
109,2785.680526230392
110,2816.3285802391656
111,2847.1189360330427
112,2878.0515324180496
113,2909.118782284658
114,2940.3130986641036
115,2971.6268947119324
116,3003.060012041446
117,3034.6048640062436
118,3066.246435683329
119,3097.9845689072527
120,3129.811677203249
121,3161.7201741220706
122,3193.695044875243
123,3225.7361313724045
124,3257.835847158444
125,3289.9791774028445
126,3322.1659639413915
127,3354.381191867906
128,3386.617274579601
129,3418.874053773707
130,3451.13651439543
131,3483.3898727004193
132,3515.642555391869
133,3547.8735070908533
134,3580.0839574345737
135,3612.2602793349615
136,3644.403702391715
137,3676.5005995055044
138,3708.5447719449908
139,3740.5225926645808
140,3772.442719725537
141,3804.2840978660697
142,3836.0405286262394
143,3867.7132420225203
144,3899.2811831728272
145,3930.745582425068
146,3962.07795693325
147,3993.2721091376857
148,4024.3144133928204
149,4055.1912443464316
150,4085.888976968494
151,4116.38637230877
152,4146.6911615139725
153,4176.788605165203
154,4206.6788209759925
155,4236.354498766413
156,4265.823185537216
157,4295.062715390058
158,4324.080636349361
159,4352.862211928392
160,4381.40013454591
161,4409.672240488711
162,4437.671223323489
163,4465.389777204621
164,4492.805740179326
165,4519.919235941863
166,4546.715532082507
167,4573.18732513575
168,4599.327312224783
169,4625.128191053489
170,4650.582659895796
171,4675.675989232178
172,4700.4157351349295
173,4724.779740798299
174,4748.7607066196715
175,4772.358761826886
176,4795.55930311704
177,4818.355650822847
178,4840.733821042934
179,4862.694686949874
180,4884.231693709504
181,4905.330858450157
182,4925.993055282052
183,4946.211730214817
184,4965.972901125657
185,4985.277442778412
186,5004.111373391241
187,5022.475568006932
188,5040.363473412308
189,5057.761108109458
190,5074.669347339028
191,5091.081638003472
192,5106.983998642752
193,5122.369876112383
194,5137.24757391322
195,5151.603110421878
196,5165.43736062591
197,5178.751199409564
198,5191.545501542448
199,5203.7988566199
200,5215.526995858602
201,5226.715796955294
202,5237.358005881253
203,5247.431371787814
204,5256.943357096268
205,5265.86428235116
206,5274.20160973047
207,5281.94051625331
208,5289.073607192462
209,5295.63062948861
210,5301.596759912306
211,5306.979460232248
212,5311.793620531871
213,5316.0392741765545
214,5319.72388288294
215,5322.847480037395
216,5325.395242364834
217,5327.367203348701
218,5328.763396549065
219,5329.576427270364
220,5329.798900928796
221,5329.438279768865
222,5328.479741126852
223,5326.9307475455125
224,5324.798761734777
225,5322.083818231013
226,5318.778523404451
227,5314.89034051508
228,5310.419304664666
229,5305.372879497487
230,5299.743672147233
231,5293.539146632961
232,5286.766767150836
233,5279.41914136312
234,5271.496305435656
235,5263.013152372142
236,5253.954861893959
237,5244.343755571173
238,5234.1724416465
239,5223.448385110671
240,5212.171622623265
241,5200.342190832479
242,5187.974983043235
243,5175.070035782084
244,5161.627385462109
245,5147.661925046568
246,5133.18111896027
247,5118.177574700661
248,5102.6736129001565
249,5086.661840484725
250,5070.157149086233
251,5053.152061020268
252,5035.653619354127
253,5017.661354463042
254,4999.189652925847
255,4980.223187388171
256,4960.776343330701
257,4940.85607728601
258,4920.476773509161
259,4899.645387249535
260,4878.383729776316
261,4856.691326604554
262,4834.589987576698
263,4812.086665094206
264,4789.188310803846
265,4765.894447236269
266,4742.212024498376
267,4718.15542026829
268,4693.724154742654
269,4668.917747338251
270,4643.743145046386
271,4618.222150790215
272,4592.346853333159
273,4566.14648244381
274,4539.613125408656
275,4512.761153851738
276,4485.612367054043
277,4458.166278574442
278,4430.429829674464
279,4402.41738934365
280,4374.143325976048
281,4345.607150697539
282,4316.823230795538
283,4287.805933047778
284,4258.554767051422
285,4229.084098653735
286,4199.400864930802
287,4169.526859267275
288,4139.461589633421
289,4109.21199201343
290,4078.7998587817883
291,4048.2321253269834
292,4017.508298424821
293,3986.642741310432
294,3955.64981699702
295,3924.5290315924926
296,3893.2947477152834
297,3861.94647110581
298,3830.5059923876943
299,3798.9802453239563
300,3767.376163522375
301,3735.7080721785483
302,3703.990149896951
303,3672.229110166231
304,3640.4390946638564
305,3608.6342448981463
306,3576.813845497763
307,3544.9994659508034
308,3513.1978188393714
309,3481.415616524084
310,3449.6521427761563
311,3417.936394509572
312,3386.260226608513
313,3354.6452070583173
314,3323.098046821935
315,3291.618028167647
316,3260.226718047313
317,3228.930826322386
318,3197.74449079224
319,3166.6669921215494
320,3135.705038870008
321,3104.88762417286
322,3074.1991705700243
323,3043.6686701920385
324,3013.2879728920398
325,2983.078641384773
326,2953.0399527837913
327,2923.186040344056
328,2893.52360840509
329,2864.0593607378146
330,2834.8074288942053
331,2805.7670871588552
332,2776.9524659552662
333,2748.3628384531703
334,2720.0123339809065
335,2691.915081339344
336,2664.070352118834
337,2636.4848457703793
338,2609.1652612787025
339,2582.125725538611
340,2555.3729366832795
341,2528.906164115566
342,2502.73210524218
343,2476.8574571592826
344,2451.281488340057
345,2426.0108953747726
346,2401.0523746616277
347,2376.4051940988543
348,2352.0760498285904
349,2328.079066281
350,2304.413511168124
351,2281.0935753854938
352,2258.1262873735354
353,2235.5113137945395
354,2213.25574982112
355,2191.374119179113
356,2169.8586607883276
357,2148.716470554167
358,2127.9546447058824
359,2107.5728514832335
360,2087.5707595216077
361,2067.9554662349046
362,2048.7266411452783
363,2029.898810961579
364,2011.4567895028779
365,1993.4225328729672
366,1975.7882843275104
367,1958.561144392039
368,1941.7407858247607
369,1925.3268819774312
370,1909.3339635035536
371,1893.7468482617073
372,1878.5800681195633
373,1863.825870501439
374,1849.4913601362523
375,1835.5687856507584
376,1822.0652529624824
377,1808.987868569009
378,1796.321454485091
379,1784.080546680511
380,1772.2648249631877
381,1760.8665413127442
382,1749.8928049135336
383,1739.343297085381
384,1729.210271264528
385,1719.4934096848
386,1710.1998233582485
387,1701.329195355527
388,1692.8663524369947
389,1684.8184067860518
390,1677.185042591188
391,1669.96594438047
392,1663.1459403066829
393,1656.739572236079
394,1650.731668935404
395,1645.121916164381
396,1639.9099999682862
397,1635.0881783229988
398,1630.6635661833745
399,1626.6284220822724
400,1622.9824331837988
401,1619.725378163335
402,1616.8499725406539
