l,EE
2,5.773819982394717137e-02
3,9.986656374494820576e-02
4,1.206919134526026338e-01
5,1.173095501078952330e-01
6,9.710446902166083860e-02
7,7.059324680023969234e-02
8,4.624357798400698105e-02
9,2.838788641016274858e-02
10,1.762806616099275511e-02
11,1.232451511636908567e-02
12,1.021772037145790568e-02
13,9.454671378332103054e-03
14,8.971186283892960273e-03
15,8.405302481659089262e-03
16,7.796215729086772295e-03
17,7.300046750413255112e-03
18,7.057787091969604069e-03
19,7.105005834758889791e-03
20,7.423336259232015191e-03
21,7.964306510834661887e-03
22,8.693045022380246900e-03
23,9.586629590810151827e-03
24,1.063903633660358977e-02
25,1.186866170481956119e-02
26,1.330251454650294499e-02
27,1.495265699249561514e-02
28,1.680933854327836333e-02
29,1.888887015586073956e-02
30,2.120730340517219120e-02
31,2.374409970957785249e-02
32,2.650476367074051584e-02
33,2.946779479790494899e-02
34,3.267553350785696448e-02
35,3.611514857462751887e-02
36,3.979124490920946111e-02
37,4.372383687250362694e-02
38,4.790436219943653567e-02
39,5.234175954215972149e-02
40,5.705198236523130462e-02
41,6.204914878490598584e-02
42,6.733945574883515306e-02
43,7.292691540805894268e-02
44,7.881331726628781897e-02
45,8.499753155837877494e-02
46,9.147805386955620843e-02
47,9.826396417977271980e-02
48,1.053599741819916114e-01
49,1.127698435709860586e-01
50,1.205082385228316288e-01
51,1.285878848994675139e-01
52,1.370100513943030840e-01
53,1.457695621047264967e-01
54,1.548616539119070934e-01
55,1.642827005318803213e-01
56,1.740237635137563965e-01
57,1.840824797147518621e-01
58,1.944600630822993226e-01
59,2.051580724289638613e-01
60,2.161702354377280089e-01
61,2.274896717315146311e-01
62,2.391082834574112803e-01
63,2.510181148568533249e-01
64,2.632100793384805626e-01
65,2.756769433707285666e-01
66,2.884052828522334355e-01
67,3.013847510792514450e-01
68,3.146025677946248655e-01
69,3.280478913220836734e-01
70,3.417103626977651132e-01
71,3.555814324250789471e-01
72,3.696508494986081028e-01
73,3.839065325225219927e-01
74,3.983303454748167161e-01
75,4.129033406940815221e-01
76,4.276043740532476933e-01
77,4.424155188482130630e-01
78,4.573174892106009470e-01
79,4.722918615525446562e-01
80,4.873203810141218950e-01
81,5.023851521033609879e-01
82,5.174705971831539131e-01
83,5.325601101212810162e-01
84,5.476381911817295167e-01
85,5.626890075454475948e-01
86,5.776992434212075977e-01
87,5.926524455382968792e-01
88,6.075332739419729844e-01
89,6.223269616220912237e-01
90,6.370148911075486087e-01
91,6.515829282598541994e-01
92,6.660159034530949151e-01
93,6.802994645632368664e-01
94,6.944221906960977853e-01
95,7.083704055468014182e-01
96,7.221326428706397182e-01
97,7.356974215482309232e-01
98,7.490532441536753572e-01
99,7.621908189519601695e-01
100,7.751037911140505887e-01
