l,delensing_efficiency
2,36.53785894617647
3,36.54325983638482
4,36.550430765918264
5,36.559346018345416
6,36.56997371177637
7,36.582275926846215
8,36.59620913448144
9,36.61172409506128
10,36.62876634937018
11,36.64727644415066
12,36.66719029941935
13,36.68843949113293
14,36.71095161793652
15,36.734650700867476
16,36.75945755223015
17,36.78529018088147
18,36.812064206211964
19,36.839693258319784
20,36.868089422255885
21,36.89716360949395
22,36.9268260229372
23,36.95698654296137
24,36.98755512800208
25,37.01844223578713
26,37.049559173349095
27,37.08081849459571
28,37.11213433710399
29,37.14342279427923
30,37.174602199311636
31,37.205593455908485
32,37.236320306413766
33,37.26670962082414
34,37.29669160628173
35,37.32620004170935
36,37.355172488875546
37,37.383550440034476
38,37.4112794877901
39,37.438309446460956
40,37.46459446027941
41,37.49009308435771
42,37.514768346043496
43,37.53858778448732
44,37.561523462136485
45,37.58355196697719
46,37.60465438536728
47,37.624816258413674
48,37.6440275161081
49,37.662282401770014
50,37.67957937297193
51,37.69592098663641
52,37.71131376909919
53,37.72576807487775
54,37.73929792983438
55,37.75192086337557
56,37.76365772805559
57,37.77453250667166
58,37.784572131875386
59,37.793806256767766
60,37.80226705757723
61,37.809989014217436
62,37.81700869074363
63,37.82336451032619
64,37.82909653048815
65,37.83424621830185
66,37.83885622546887
67,37.84297016496754
68,37.84663239331583
69,37.8498877930153
70,37.85278156255352
71,37.85535901411151
72,37.85766537559457
73,37.85974560132056
74,37.86164419454543
75,37.863405035893024
76,37.86507122566734
77,37.866684935630836
78,37.86828727333289
79,37.86991815819713
80,37.8716162116987
81,37.8734186593972
82,37.8753612467162
83,37.87747816856731
84,37.87980201213429
85,37.88236371337998
86,37.88519252646006
87,37.888316007315225
88,37.89176000865574
89,37.89554868814529
90,37.89970452849534
91,37.90424836826841
92,37.9091994434287
93,37.914575439318966
94,37.92039255113326
95,37.926665550110016
96,37.93340786900758
97,37.940631671569015
98,37.94834794844127
99,37.95656660818629
100,37.96529657301534
