kh,P_k
1.000000e-04,3.968541e+02
1.047371e-04,4.149714e+02
1.096986e-04,4.339149e+02
1.148951e-04,4.537221e+02
1.203378e-04,4.744322e+02
1.260383e-04,4.960863e+02
1.320088e-04,5.187271e+02
1.382622e-04,5.423993e+02
1.448118e-04,5.671496e+02
1.516717e-04,5.930270e+02
1.588565e-04,6.200824e+02
1.663817e-04,6.483690e+02
1.742633e-04,6.779422e+02
1.825183e-04,7.088602e+02
1.911644e-04,7.411835e+02
2.002200e-04,7.749754e+02
2.097046e-04,8.103018e+02
2.196385e-04,8.472314e+02
2.300430e-04,8.858360e+02
2.409404e-04,9.261904e+02
2.523539e-04,9.683727e+02
2.643081e-04,1.012464e+03
2.768287e-04,1.058550e+03
2.899423e-04,1.106718e+03
3.036771e-04,1.157060e+03
3.180626e-04,1.209671e+03
3.331295e-04,1.264652e+03
3.489101e-04,1.322106e+03
3.654383e-04,1.382141e+03
3.827494e-04,1.444868e+03
4.008806e-04,1.510404e+03
4.198707e-04,1.578870e+03
4.397604e-04,1.650391e+03
4.605922e-04,1.725096e+03
4.824109e-04,1.803122e+03
5.052631e-04,1.884606e+03
5.291979e-04,1.969694e+03
5.542665e-04,2.058535e+03
5.805226e-04,2.151284e+03
6.080224e-04,2.248100e+03
6.368250e-04,2.349148e+03
6.669920e-04,2.454598e+03
6.985880e-04,2.564625e+03
7.316807e-04,2.679409e+03
7.663411e-04,2.799135e+03
8.026434e-04,2.923994e+03
8.406653e-04,3.054180e+03
8.804884e-04,3.189892e+03
9.221979e-04,3.331334e+03
9.658832e-04,3.478715e+03
1.011638e-03,3.632244e+03
1.059560e-03,3.792136e+03
1.109752e-03,3.958607e+03
1.162322e-03,4.131877e+03
1.217383e-03,4.312166e+03
1.275051e-03,4.499694e+03
1.335452e-03,4.694681e+03
1.398713e-03,4.897346e+03
1.464971e-03,5.107906e+03
1.534368e-03,5.326575e+03
1.607053e-03,5.553562e+03
1.683180e-03,5.789069e+03
1.762914e-03,6.033292e+03
1.846425e-03,6.286415e+03
1.933892e-03,6.548614e+03
2.025502e-03,6.820050e+03
2.121452e-03,7.100871e+03
2.221947e-03,7.391209e+03
2.327202e-03,7.691176e+03
2.437444e-03,8.000862e+03
2.552908e-03,8.320335e+03
2.673842e-03,8.649636e+03
2.800504e-03,8.988780e+03
2.933166e-03,9.337748e+03
3.072113e-03,9.696485e+03
3.217642e-03,1.006490e+04
3.370064e-03,1.044286e+04
3.529707e-03,1.083019e+04
3.696913e-03,1.122665e+04
3.872039e-03,1.163197e+04
4.055461e-03,1.204581e+04
4.247572e-03,1.246776e+04
4.448783e-03,1.289737e+04
4.659526e-03,1.333409e+04
4.880252e-03,1.377732e+04
5.111433e-03,1.422639e+04
5.353567e-03,1.468049e+04
5.607170e-03,1.513873e+04
5.872787e-03,1.560022e+04
6.150986e-03,1.606402e+04
6.442364e-03,1.652891e+04
6.747544e-03,1.699334e+04
7.067181e-03,1.745581e+04
7.401960e-03,1.791481e+04
7.752597e-03,1.836878e+04
8.119845e-03,1.881610e+04
8.504489e-03,1.925498e+04
8.907355e-03,1.968339e+04
9.329304e-03,2.009913e+04
9.771242e-03,2.049985e+04
1.023411e-02,2.088311e+04
1.071891e-02,2.124631e+04
1.122668e-02,2.158679e+04
1.175850e-02,2.190177e+04
1.231551e-02,2.218839e+04
1.289890e-02,2.244366e+04
1.350994e-02,2.266450e+04
1.414991e-02,2.284782e+04
1.482021e-02,2.299053e+04
1.552225e-02,2.308957e+04
1.625756e-02,2.314200e+04
1.702769e-02,2.314501e+04
1.783431e-02,2.309602e+04
1.867914e-02,2.299275e+04
1.956398e-02,2.283335e+04
2.049075e-02,2.261643e+04
2.146141e-02,2.234127e+04
2.247806e-02,2.200778e+04
2.354286e-02,2.161683e+04
2.465811e-02,2.117011e+04
2.582619e-02,2.067050e+04
2.704960e-02,2.012187e+04
2.833096e-02,1.952935e+04
2.967302e-02,1.889920e+04
3.107866e-02,1.823878e+04
3.255089e-02,1.755671e+04
3.409285e-02,1.686196e+04
3.570786e-02,1.616441e+04
3.739937e-02,1.547385e+04
3.917101e-02,1.480135e+04
4.102658e-02,1.415632e+04
4.297005e-02,1.354464e+04
4.500558e-02,1.297116e+04
4.713753e-02,1.244452e+04
4.937048e-02,1.197264e+04
5.170920e-02,1.155039e+04
5.415871e-02,1.116705e+04
5.672426e-02,1.081320e+04
5.941134e-02,1.047926e+04
6.222571e-02,1.015326e+04
6.517340e-02,9.821233e+03
6.826072e-02,9.466748e+03
7.149429e-02,9.070172e+03
7.488104e-02,8.619141e+03
7.842822e-02,8.112865e+03
8.214344e-02,7.563264e+03
8.603464e-02,6.993135e+03
9.011018e-02,6.429281e+03
9.437878e-02,5.898161e+03
9.884959e-02,5.424627e+03
1.035322e-01,5.028372e+03
1.084366e-01,4.717873e+03
1.135733e-01,4.483597e+03
1.189534e-01,4.297643e+03
1.245883e-01,4.121848e+03
1.304902e-01,3.919880e+03
1.366716e-01,3.670071e+03
1.431459e-01,3.374113e+03
1.499268e-01,3.055295e+03
1.570290e-01,2.750939e+03
1.644676e-01,2.500241e+03
1.722586e-01,2.319585e+03
1.804186e-01,2.190861e+03
1.889652e-01,2.078513e+03
1.979167e-01,1.946171e+03
2.072922e-01,1.779299e+03
2.171118e-01,1.600143e+03
2.273966e-01,1.443470e+03
2.381686e-01,1.328193e+03
2.494508e-01,1.242422e+03
2.612675e-01,1.156443e+03
2.736440e-01,1.054050e+03
2.866068e-01,9.496358e+02
3.001836e-01,8.637069e+02
3.144035e-01,7.975905e+02
3.292971e-01,7.341602e+02
3.448962e-01,6.657988e+02
3.612343e-01,6.027774e+02
3.783463e-01,5.511799e+02
3.962689e-01,5.039828e+02
4.150405e-01,4.567754e+02
4.347013e-01,4.143678e+02
4.552935e-01,3.774487e+02
4.768612e-01,3.424240e+02
4.994505e-01,3.101748e+02
5.231099e-01,2.815013e+02
5.478901e-01,2.549078e+02
5.738442e-01,2.307032e+02
6.010277e-01,2.088059e+02
6.294989e-01,1.887400e+02
6.593188e-01,1.705823e+02
