l,BB
2,1.70494307e-03
3,8.77488133e-04
4,4.62905880e-04
5,2.43704708e-04
6,1.28105959e-04
7,6.88153776e-05
8,3.96208342e-05
9,2.60190924e-05
10,2.01451703e-05
11,1.78536541e-05
12,1.70942419e-05
13,1.69015327e-05
14,1.68722654e-05
15,1.68610538e-05
16,1.68263978e-05
17,1.67654493e-05
18,1.66815949e-05
19,1.65807012e-05
20,1.64676108e-05
21,1.63454006e-05
22,1.62161633e-05
23,1.60811228e-05
24,1.59411417e-05
25,1.57968338e-05
26,1.56490438e-05
27,1.54997436e-05
28,1.53504901e-05
29,1.52016073e-05
30,1.50530911e-05
31,1.49047566e-05
32,1.47564113e-05
33,1.46078838e-05
34,1.44588147e-05
35,1.43080895e-05
36,1.41552372e-05
37,1.40021570e-05
38,1.38503956e-05
39,1.36992333e-05
40,1.35476152e-05
41,1.33948763e-05
42,1.32412151e-05
43,1.30869768e-05
44,1.29324507e-05
45,1.27778788e-05
46,1.26234296e-05
47,1.24691136e-05
48,1.23149075e-05
49,1.21607914e-05
50,1.20067476e-05
51,1.18527886e-05
52,1.16990316e-05
53,1.15456019e-05
54,1.13926057e-05
55,1.12401329e-05
56,1.10882509e-05
57,1.09369846e-05
58,1.07863457e-05
59,1.06363424e-05
60,1.04869801e-05
61,1.03382779e-05
62,1.01903152e-05
63,1.00431751e-05
64,9.89692833e-06
65,9.75163516e-06
66,9.60734167e-06
67,9.46406819e-06
68,9.32182596e-06
69,9.18062254e-06
70,9.04046234e-06
71,8.90136197e-06
72,8.76339231e-06
73,8.62662850e-06
74,8.49113543e-06
75,8.35696870e-06
76,8.22417116e-06
77,8.09276093e-06
78,7.96274743e-06
79,7.83413663e-06
80,7.70693140e-06
81,7.58113567e-06
82,7.45676521e-06
83,7.33383554e-06
84,7.21235839e-06
85,7.09234209e-06
86,6.97379401e-06
87,6.85672664e-06
88,6.74115111e-06
89,6.62707541e-06
90,6.51450466e-06
91,6.40344626e-06
92,6.29392395e-06
93,6.18596202e-06
94,6.07958068e-06
95,5.97479643e-06
96,5.87162238e-06
97,5.77006858e-06
98,5.67014228e-06
99,5.57184821e-06
100,5.47518880e-06
101,5.38016440e-06
102,5.28677349e-06
103,5.19501285e-06
104,5.10487771e-06
105,5.01636195e-06
106,4.92945819e-06
107,4.84415794e-06
108,4.76045171e-06
109,4.67832914e-06
110,4.59777905e-06
111,4.51879103e-06
112,4.44135960e-06
113,4.36547962e-06
114,4.29114493e-06
115,4.21834845e-06
116,4.14708224e-06
117,4.07733761e-06
118,4.00910520e-06
119,3.94237502e-06
120,3.87713655e-06
121,3.81337878e-06
122,3.75109028e-06
123,3.69025921e-06
124,3.63087341e-06
125,3.57292044e-06
126,3.51638759e-06
127,3.46126191e-06
128,3.40753029e-06
129,3.35517943e-06
130,3.30419592e-06
131,3.25456487e-06
132,3.20626617e-06
133,3.15927870e-06
134,3.11358176e-06
135,3.06915501e-06
136,3.02597846e-06
137,2.98403251e-06
138,2.94329790e-06
139,2.90375570e-06
140,2.86538732e-06
141,2.82817448e-06
142,2.79209921e-06
143,2.75714387e-06
144,2.72329107e-06
145,2.69052375e-06
146,2.65882508e-06
147,2.62817853e-06
148,2.59856782e-06
149,2.56997693e-06
150,2.54239007e-06
151,2.51578996e-06
152,2.49015283e-06
153,2.46545386e-06
154,2.44166898e-06
155,2.41877481e-06
156,2.39674864e-06
157,2.37556838e-06
158,2.35521258e-06
159,2.33566037e-06
160,2.31689146e-06
161,2.29888609e-06
162,2.28162504e-06
163,2.26508959e-06
164,2.24926152e-06
165,2.23412309e-06
166,2.21965699e-06
167,2.20584638e-06
168,2.19267484e-06
169,2.18012636e-06
170,2.16818535e-06
171,2.15683660e-06
172,2.14606527e-06
173,2.13585692e-06
174,2.12619743e-06
175,2.11707307e-06
176,2.10846899e-06
177,2.10036502e-06
178,2.09274025e-06
179,2.08557443e-06
180,2.07884799e-06
181,2.07254197e-06
182,2.06663807e-06
183,2.06111854e-06
