l,TT
2,971.2330565410512
3,920.0421988854345
4,870.2103023943987
5,832.5878497237602
6,806.5442463623092
7,789.746073663715
8,779.4659369820743
9,774.3707740035383
10,773.1066365210105
11,774.3705345763105
12,778.7957957154306
13,784.5048602819617
14,791.3847567454518
15,798.4130260287891
16,807.2576364335544
17,817.7685121774778
18,828.8375059098724
19,841.2406617114297
20,853.3763062793009
21,865.9381549542964
22,878.9491223836421
23,892.0219671835821
24,905.4765490512265
25,919.4468184479982
26,933.4430495121733
27,947.8757674107796
28,962.5770379403006
29,977.4704539416613
30,992.7532680113958
31,1007.8207552405254
32,1023.4779248276317
33,1039.1932167744578
34,1054.943164830598
35,1071.3099001922235
36,1087.3933542913692
37,1103.7148247192197
38,1120.3777093472982
39,1137.2894971655637
40,1154.3774123326134
41,1171.5613533700612
42,1188.8433409207437
43,1206.2329266601898
44,1223.7768041560514
45,1241.5365237972221
46,1259.476167347194
47,1277.5785010113766
48,1295.8179625255625
49,1314.1838463528002
50,1332.7323021093769
51,1351.5230352515277
52,1370.5036926902858
53,1389.6031920731025
54,1408.8024493950907
55,1428.0972372222082
56,1447.59949315536
57,1467.4104009588173
58,1487.4873171265651
59,1507.7430278288864
60,1528.1571741464488
61,1548.7367801135747
62,1569.4869770887763
63,1590.4254226538294
64,1611.5549173886259
65,1632.9005466129856
66,1654.4993593847685
67,1676.33226375952
68,1698.3624181230243
69,1720.5455521864474
70,1742.8522520398876
71,1765.2607731914845
72,1787.8840466816434
73,1810.8352446361964
74,1834.123541991012
75,1857.7506850595914
76,1881.6723364934885
77,1905.763821985474
78,1930.010378959684
79,1954.456671445917
80,1979.1250782495842
81,2004.0401127290165
82,2029.2125418776623
83,2054.618125540766
84,2080.2549085405044
85,2106.1135073011073
86,2132.1891792913043
87,2158.451176146927
88,2184.8808189500046
89,2211.4891422383316
90,2238.2797522782425
91,2265.2631532583105
92,2292.440299021238
93,2319.8264697243235
94,2347.4146606367935
95,2375.220152258392
96,2403.23594023314
97,2431.462448763666
98,2459.907530622512
99,2488.549325410097
100,2517.403114714058
101,2546.461895312168
102,2575.726092576101
103,2605.181275421304
104,2634.8278697065075
105,2664.6588731794495
106,2694.6672838216296
107,2724.8460998409555
108,2755.18089131239
109,2785.67951356824
110,2816.327537084489
111,2847.1178631322505
112,2878.0504305549307
113,2909.1176522605047
114,2940.311941291636
115,2971.625710808952
116,3003.0588024242707
117,3034.6036294829814
118,3066.245177047078
119,3097.9832869292777
120,3129.8103726262175
121,3161.7188476534184
122,3193.6936971807354
123,3225.7347630699774
124,3257.834458812383
125,3289.9777695183793
126,3322.1645369597645
127,3354.379746161982
128,3386.615810450078
129,3418.8725714459756
130,3451.135014017139
131,3483.3883543411243
132,3515.641019047511
133,3547.8719526849973
134,3580.082384819133
135,3612.25868829176
136,3644.4020926349044
137,3676.4989706848287
138,3708.543123649889
139,3740.52092442911
140,3772.441031034093
141,3804.2823881598565
142,3836.0387973104653
143,3867.7114884742546
144,3899.27940674947
145,3930.7437824733565
146,3962.076132798744
147,3993.270260174648
148,4024.3125389744064
149,4055.189343875113
150,4085.887049886616
151,4116.38441811172
152,4146.689179771005
153,4176.786595532408
154,4206.676783206448
155,4236.35243272
156,4265.821091189991
157,4295.060592843093
158,4324.078485836963
159,4352.86003382562
160,4381.397929375295
161,4409.670008926118
162,4437.668966203045
163,4465.387495522655
164,4492.803435097249
165,4519.9169087879745
166,4546.713184352655
167,4573.184958492854
168,4599.324928497175
169,4625.125792232088
170,4650.580248130102
171,4675.673566825121
172,4700.413304536576
173,4724.777304598476
174,4748.75826753953
175,4772.356322709477
176,4795.556866915151
177,4818.353220580511
178,4840.731399881644
179,4862.692278055934
180,4884.229300320804
181,4905.328483842477
182,4925.990702754992
183,4946.209403077491
184,4965.970602682246
185,4985.2751763137185
186,5004.109142156344
187,5022.473375205077
188,5040.361322185163
189,5057.759001523838
190,5074.66728837421
191,5091.0796295392165
192,5106.9820434481435
193,5122.367976835564
194,5137.245733072153
195,5151.601330396184
196,5165.435643649879
197,5178.749547566401
198,5191.543916759798
199,5203.797340666728
200,5215.525550343412
201,5226.714423326122
202,5237.3567054281475
203,5247.430145645599
204,5256.94220624832
205,5265.863207634524
206,5274.200611842267
207,5281.93959575839
208,5289.072764532229
209,5295.629864990937
210,5301.596073802464
211,5306.978852644721
212,5311.793091522969
213,5316.038823737703
214,5319.723510954511
215,5322.847186522944
216,5325.395027145624
217,5327.367066298343
218,5328.763337548155
219,5329.5764462209445
220,5329.798997768527
221,5329.438454484716
222,5328.479993768206
223,5326.931078236528
224,5324.799170685867
225,5322.0843057493275
226,5318.779089903221
227,5314.8909865217265
228,5310.420030827566
229,5305.373686591305
230,5299.744561076731
231,5293.540118435237
232,5286.767822995917
233,5279.420282552883
234,5271.497533401048
235,5263.014468668689
236,5253.956268195573
237,5244.345253662268
238,5234.174033412476
239,5223.45007252678
240,5212.173407741965
241,5200.344075769339
242,5187.976969961476
243,5175.072126875888
244,5161.629582938801
245,5147.664231107803
246,5133.183535782379
247,5118.1801044142985
248,5102.676257569414
249,5086.6646020858725
250,5070.1600294862765
251,5053.1550619561685
252,5035.656742414281
253,5017.664601067008
254,4999.193024303889
255,4980.226684561492
256,4960.779967092551
257,4940.859828183816
258,4920.480651827848
259,4899.649392996195
260,4878.387862666353
261,4856.695586049443
262,4834.594372673471
263,4812.091174616773
264,4789.192943196239
265,4765.89920060787
266,4742.216896621206
267,4718.160408576384
268,4693.729256333548
269,4668.922958976587
270,4643.748463169621
271,4618.227571516395
272,4592.352372470722
273,4566.152095503341
274,4539.618827616505
275,4512.766940165413
276,4485.618232179252
277,4458.1722169836585
278,4430.435835626851
279,4402.423456906222
280,4374.14944904585
281,4345.613323024721
282,4316.829446007085
283,4287.812184671731
284,4258.56104854138
285,4229.0904034134355
286,4199.40718633857
287,4169.533190700151
288,4139.467924490739
289,4109.218323739677
290,4078.806180888521
291,4048.23843141364
292,4017.5145821982364
293,3986.648996602891
294,3955.656037782706
295,3924.5352120021707
296,3893.3008820491104
297,3861.95255384415
298,3830.5120181998564
299,3798.9862090747706
300,3767.3820602765577
301,3735.713897202338
302,3703.995898656014
303,3672.2347783227747
304,3640.4446780720023
305,3608.639739597114
306,3576.8192477029365
307,3545.004772042772
308,3513.2030253510343
309,3481.420720125956
310,3449.6571402600143
311,3417.941282770591
312,3386.265002626071
313,3354.6498678756516
314,3323.102589524851
315,3291.622449862481
316,3260.231015838371
317,3228.93499728908
318,3197.748531966147
319,3166.670900463628
320,3135.708811248198
321,3104.8912573403027
322,3074.2026611441247
323,3043.672014634589
324,3013.291167490628
325,2983.0816822356655
326,2953.0428357765013
327,2923.188761147762
328,2893.526162457076
329,2864.06174323409
330,2834.8096347824207
331,2805.7691111336367
332,2776.9543024560608
333,2748.3644816646715
334,2720.013777836108
335,2691.916319525256
336,2664.071378084856
337,2636.48565273932
338,2609.1658422604037
339,2582.126073346102
340,2555.373043951389
341,2528.906023321867
342,2502.731708730154
343,2476.856797163538
344,2451.2805570134396
345,2426.0096848171843
346,2401.0508769503413
347,2376.4034013201162
348,2352.073954110273
349,2328.0766598260707
350,2304.4107862886744
351,2281.0905245360505
352,2258.1229031813355
353,2235.507589092669
354,2213.251677682199
355,2191.369692948235
356,2169.8538741150037
357,2148.7113174230235
358,2127.949119465867
359,2107.566948875104
360,2087.5644747034876
361,2067.9487948057003
362,2048.7195791657778
363,2029.891354973061
364,2011.4489365430904
365,1993.4142804893472
366,1975.7796305875431
367,1958.5520878906825
368,1941.731325688873
369,1925.317017867181
370,1909.3236956108037
371,1893.7361773053947
372,1878.5689953381216
373,1863.8143976423385
374,1849.4794894427516
375,1835.5565198459879
376,1822.0525952310024
377,1808.974822536013
378,1796.3080241934304
379,1784.066736565753
380,1772.2506398269247
381,1760.8519862943908
382,1749.8778854608634
383,1739.3280189240604
384,1729.1946403669222
385,1719.4774322383225
386,1710.18350573354
387,1701.3125440747392
388,1692.8493741424695
389,1684.801108209667
390,1677.1674305246468
391,1669.9480256467969
392,1663.1277217331829
393,1656.7210606289982
394,1650.7128710565241
395,1645.1028387097513
396,1639.8906495492895
397,1635.0685614499187
398,1630.6436892516147
399,1626.6082913613516
400,1622.9620548092207
401,1619.7047581344275
402,1616.8291167304635
403,1614.3353658736794
404,1612.2237411601752
405,1610.4796218231047
406,1609.10324415372
407,1608.0948448230235
408,1607.4472325556194
409,1607.1457881555898
410,1607.2056062851977
411,1607.5972119912126
412,1608.335700937877
413,1609.4138842855314
414,1610.8245737728955
415,1612.5531533987523
416,1614.6147212052701
417,1616.9872341576938
418,1619.6783633281452
419,1622.6734954747528
420,1625.980303173106
421,1629.5841747435209
422,1633.4779276793668
423,1637.6692370229598
424,1642.1434936380451
425,1646.8935176324042
426,1651.9195583771289
427,1657.199581122388
428,1662.7486938135207
429,1668.5374352495526
430,1674.5660585940307
431,1680.8348179793124
432,1687.329111808242
433,1694.056624504406
434,1700.9953280561997
435,1708.1529088114416
436,1715.5221973653197
437,1723.096025247209
438,1730.8672249039353
439,1738.8360580303283
440,1746.9879304959388
441,1755.315677370546
442,1763.8047061958837
443,1772.4552820062445
444,1781.2528138951789
445,1790.1901400319837
446,1799.260099275471
447,1808.4555311364982
448,1817.7841324397598
449,1827.2313155328518
450,1836.7899216468627
451,1846.4602645735933
452,1856.2428334284841
453,1866.1158764046802
454,1876.079927115835
455,1886.1206628048424
456,1896.2311893554142
457,1906.4046129037506
458,1916.6266114515226
459,1926.8828631808863
460,1937.1887598219757
461,1947.5151231187997
462,1957.884773352961
463,1968.26853241284
464,1978.6892206721066
465,1989.1176600636643
466,1999.569242612854
467,2010.0296469174614
468,2020.4845515338138
469,2030.9344916649695
470,2041.3651457499727
471,2051.7621921571417
472,2062.1261658798144
473,2072.442745132963
474,2082.712464754076
475,2092.92843115441
476,2103.0911790234745
477,2113.186386284072
478,2123.222015850964
479,2133.198602238705
480,2143.0943948711897
481,2152.9247848946834
482,2162.660593336853
483,2172.309782971813
484,2181.858031530685
485,2191.2910167649284
486,2200.616701509445
487,2209.820763592956
488,2218.8963092501654
489,2227.8513014822256
490,2236.6714183145227
491,2245.357194555566
492,2253.90916510253
493,2262.327864945514
494,2270.6064008195754
495,2278.7378795551563
496,2286.722836426241
497,2294.546950095144
498,2302.2107560065683
499,2309.707361327371
500,2317.029873284719
501,2324.171364617735
502,2331.132198309486
503,2337.905274467404
504,2344.490921534871
505,2350.8968962661415
506,2357.1086702978446
507,2363.1340002206616
508,2368.96578579607
509,2374.5969266227867
510,2380.042607151596
511,2385.280869845736
512,2390.3268986443004
513,2395.1661637696134
514,2399.798991787318
515,2404.2257088636475
516,2408.4466407226428
517,2412.4546842528052
518,2416.2427358142013
519,2419.8185478960127
520,2423.167587322813
521,2426.297605314299
522,2429.201495693254
523,2431.8721515464667
524,2434.3247502373565
525,2436.5447549177743
526,2438.5473412954448
527,2440.3253991497468
528,2441.8792457025206
529,2443.2091972400603
530,2444.3229974381993
531,2445.206103938859
532,2445.8736867821744
533,2446.318629938022
534,2446.533816343033
535,2446.5344129406094
536,2446.3058722214782
537,2445.863359021027
538,2445.1997520658806
539,2444.3227857264324
540,2443.2179082697585
541,2441.907708668555
542,2440.3850614585085
543,2438.642840151437
544,2436.6962023005863
545,2434.5454477661233
546,2432.183447084181
547,2429.6179265382243
548,2426.849183130556
549,2423.8775129562196
550,2420.703211227844
551,2417.341356982357
552,2413.7770269472862
553,2410.0249384284207
554,2406.0923796053185
555,2401.971781208245
556,2397.6630015958644
557,2393.188183482211
558,2388.532327160475
559,2383.702717329884
560,2378.6992097184875
561,2373.536516156409
562,2368.1996344953923
563,2362.7032754302404
564,2357.054720765262
565,2351.2389667296025
566,2345.270722442865
567,2339.157268175692
568,2332.891027009248
569,2326.4792782438262
570,2319.9218723535487
571,2313.2260876901846
572,2306.3992021341005
573,2299.4410647431555
574,2292.3515241001014
575,2285.1527133585805
576,2277.8296234345885
577,2270.404386500765
578,2262.869420824421
579,2255.232000857955
580,2247.4994005260814
581,2239.678893212566
582,2231.770323395902
583,2223.7735349849027
584,2215.703228004153
585,2207.5592451778125
586,2199.341428614971
587,2191.0570481450454
588,2182.7208013034474
589,2174.31767156672
590,2165.86978349214
591,2157.376975904228
592,2148.839086935374
593,2140.2633823675337
594,2131.649698924907
595,2123.012729319791
596,2114.352308848745
597,2105.6682720924673
598,2096.96788126775
599,2088.258397881373
600,2079.5396543865168
601,2070.8262983046548
602,2062.1030993216345
603,2053.399355619019
604,2044.6997946263932
605,2036.011428193463
606,2027.3486959120094
607,2018.703751739899
608,2010.0910341300662
609,2001.5175526593746
610,1992.9680313602428
611,1984.47176390715
