l,EE
2,6.02733832e-02
3,1.05515328e-01
4,1.27927653e-01
5,1.23369051e-01
6,9.98132560e-02
7,6.95698553e-02
8,4.28617395e-02
9,2.47637158e-02
10,1.54393234e-02
11,1.21089065e-02
12,1.14362234e-02
13,1.10683954e-02
14,1.01194733e-02
15,8.80478118e-03
16,7.75247183e-03
17,7.27738965e-03
18,7.49157464e-03
19,8.09594316e-03
20,8.72509929e-03
21,9.23995577e-03
22,9.62340457e-03
23,1.00476606e-02
24,1.07165533e-02
25,1.17401379e-02
26,1.31796498e-02
27,1.49701860e-02
28,1.70109890e-02
29,1.92827449e-02
30,2.17844688e-02
31,2.44979110e-02
32,2.74316945e-02
33,3.05517639e-02
34,3.38799135e-02
35,3.73667701e-02
36,4.09883805e-02
37,4.47843703e-02
38,4.87772281e-02
39,5.30046948e-02
40,5.75109430e-02
41,6.23319230e-02
42,6.74701765e-02
43,7.29197258e-02
44,7.86724390e-02
45,8.47173615e-02
46,9.10422865e-02
47,9.76417347e-02
48,1.04505038e-01
49,1.11620784e-01
50,1.18988706e-01
51,1.26611919e-01
52,1.34502624e-01
53,1.42671948e-01
54,1.51131764e-01
55,1.59895429e-01
56,1.68967704e-01
57,1.78345718e-01
58,1.88026919e-01
59,1.98009498e-01
60,2.08284218e-01
61,2.18841620e-01
62,2.29671362e-01
63,2.40763626e-01
64,2.52107850e-01
65,2.63695698e-01
66,2.75514926e-01
67,2.87564383e-01
68,2.99842720e-01
69,3.12350818e-01
70,3.25090299e-01
71,3.38063296e-01
72,3.51264325e-01
73,3.64684698e-01
74,3.78309782e-01
75,3.92124205e-01
76,4.06110890e-01
77,4.20257845e-01
78,4.34552117e-01
79,4.48981498e-01
80,4.63533777e-01
81,4.78196990e-01
82,4.92961627e-01
83,5.07816935e-01
84,5.22752906e-01
85,5.37758788e-01
86,5.52825766e-01
87,5.67940891e-01
88,5.83091665e-01
89,5.98265591e-01
90,6.13445714e-01
91,6.28618965e-01
92,6.43770729e-01
93,6.58886562e-01
94,6.73954250e-01
95,6.88958605e-01
96,7.03885928e-01
97,7.18721775e-01
98,7.33450958e-01
99,7.48059779e-01
100,7.62536763e-01
