l,BB
2,2.269871374240444e-19
3,4.540339406784605e-19
4,7.568553366241216e-19
5,1.1355295231165443e-18
6,1.5901530846107361e-18
7,2.1208402278447786e-18
8,2.7277218994852102e-18
9,3.4109447366179645e-18
10,4.170669931946035e-18
11,5.0070719681395735e-18
12,5.920337268289358e-18
13,6.91066274002194e-18
14,7.978254249462081e-18
15,9.123325043816898e-18
16,1.03460941088283e-17
17,1.1646784501455212e-17
18,1.3025621663542758e-17
19,1.4482831710780143e-17
20,1.601863977974051e-17
21,1.763326828626791e-17
22,1.932693538295479e-17
23,2.109985333772714e-17
24,2.2952227000792258e-17
25,2.4884252445224866e-17
26,2.689611551013497e-17
27,2.898799064764294e-17
28,3.116003967956043e-17
29,3.341241098208639e-17
30,3.5745238347138297e-17
31,3.815864039419142e-17
32,4.0652719837823265e-17
33,4.322756330336025e-17
34,4.588324062654152e-17
35,4.8619804829326695e-17
36,5.1437292516609156e-17
37,5.433572332434678e-17
38,5.731510069935899e-17
39,6.037541219749346e-17
40,6.351663012063555e-17
41,6.673871214417626e-17
42,7.004160242269604e-17
43,7.342523231910221e-17
44,7.688952156654158e-17
45,8.043437957680605e-17
46,8.405970669163643e-17
47,8.776539545676091e-17
48,9.155133242376818e-17
49,9.541739924962581e-17
50,9.936347451642078e-17
51,1.0338943530058314e-16
52,1.0749515881274004e-16
53,1.1168052395059446e-16
54,1.1594541301493086e-16
55,1.202897132489209e-16
56,1.247133184766694e-16
57,1.292161308468313e-16
58,1.337980614337568e-16
59,1.3845903290739384e-16
60,1.43198980071928e-16
61,1.480178513371963e-16
62,1.5291560977339357e-16
63,1.5789223425158402e-16
64,1.6294772039335191e-16
65,1.68082081339775e-16
66,1.7329534849509848e-16
67,1.785875721192955e-16
68,1.8395882175505826e-16
69,1.8940918659090686e-16
70,1.949387756899608e-16
71,2.0054771803280022e-16
72,2.0623616238677179e-16
73,2.120042774377954e-16
74,2.1785225128730035e-16
75,2.237802911459786e-16
76,2.2978862291086364e-16
77,2.35877490503975e-16
78,2.4204715535978095e-16
79,2.4829789567413873e-16
80,2.5463000552623423e-16
81,2.610437942177924e-16
82,2.6753958524959473e-16
83,2.741177155813455e-16
84,2.8077853455364437e-16
85,2.875224030575309e-16
86,2.9434969261482077e-16
87,3.0126078443300203e-16
88,3.082560685467818e-16
89,3.1533594301422875e-16
90,3.2250081301317957e-16
91,3.2975109020272107e-16
92,3.3708719205267596e-16
93,3.4450954115024995e-16
94,3.520185647319274e-16
95,3.596146942515229e-16
96,3.6729836503550665e-16
97,3.7507001597588296e-16
98,3.8293008941508925e-16
99,3.908790310650847e-16
100,3.9891729004739237e-16
101,4.0704531903077535e-16
102,4.152635744510189e-16
103,4.2357251680151395e-16
104,4.3197261109664935e-16
105,4.404643273039473e-16
106,4.490481409256534e-16
107,4.577245336159732e-16
108,4.664939938798694e-16
109,4.753570178109744e-16
110,4.843141098419114e-16
111,4.933657835378901e-16
112,5.025125624642608e-16
113,5.117549809088108e-16
114,5.21093584804949e-16
115,5.305289324441009e-16
116,5.400615951897919e-16
117,5.496921583191347e-16
118,5.594212215318856e-16
119,5.692493995913962e-16
120,5.791773227967229e-16
121,5.8920563737879375e-16
122,5.993350057706155e-16
123,6.095661067794914e-16
124,6.198996356452316e-16
125,6.303363039086452e-16
126,6.408768391885534e-16
127,6.515219848115675e-16
128,6.62272499260544e-16
129,6.731291554592717e-16
130,6.840927398916569e-16
131,6.951640516219637e-16
132,7.063439011172771e-16
133,7.176331088381037e-16
134,7.290325037716338e-16
135,7.405429217894839e-16
136,7.521652037948844e-16
137,7.639001938000108e-16
138,7.75748736858446e-16
139,7.8771167685233e-16
140,7.997898541295285e-16
141,8.119841031239789e-16
142,8.242952499112948e-16
143,8.36724109425473e-16
144,8.492714830548019e-16
145,8.619381558108338e-16
146,8.747248936227658e-16
147,8.876324406274505e-16
148,9.00661516440036e-16
149,9.13812813406247e-16
150,9.270869939091268e-16
151,9.404846877948955e-16
152,9.540064898087694e-16
153,9.67652957039742e-16
154,9.814246066074733e-16
155,9.953219133761295e-16
156,1.0093453077740282e-15
157,1.0234951738045415e-15
158,1.0377718472212108e-15
159,1.0521756137871097e-15
160,1.0667067077560366e-15
161,1.0813653105534975e-15
162,1.0961515495509831e-15
163,1.1110654971330688e-15
164,1.1261071699152562e-15
165,1.1412765281540877e-15
166,1.1565734753326975e-15
167,1.1719978580075031e-15
168,1.1875494657900983e-15
169,1.2032280315255379e-15
170,1.2190332316824457e-15
171,1.2349646869000482e-15
172,1.2510219626959422e-15
173,1.267204570393168e-15
174,1.283511968110836e-15
175,1.299943561946071e-15
176,1.3164987072706588e-15
177,1.3331767101258587e-15
178,1.3499768287567458e-15
179,1.3668982751446912e-15
180,1.3839402167074572e-15
181,1.401101777976253e-15
182,1.4183820423207884e-15
183,1.4357800537118552e-15
184,1.4532948184832265e-15
185,1.4709253070097698e-15
186,1.4886704554811423e-15
187,1.5065291675070426e-15
188,1.5245003157225873e-15
189,1.5425827433017949e-15
190,1.5607752653872599e-15
191,1.5790766704257254e-15
192,1.597485721331331e-15
193,1.6160011566271262e-15
194,1.634621691384223e-15
195,1.6533460180179377e-15
196,1.6721728069996703e-15
197,1.6911007073445193e-15
198,1.7101283470172561e-15
199,1.729254333124081e-15
200,1.748477252020139e-15
201,1.7677956691889469e-15
202,1.7872081290358132e-15
203,1.8067131545361813e-15
204,1.8263092467259137e-15
205,1.8459948840687128e-15
206,1.8657685217171386e-15
207,1.885628590677782e-15
208,1.9055734968655528e-15
209,1.9256016200707155e-15
210,1.94571131290457e-15
211,1.9659008996459033e-15
212,1.9861686750761688e-15
213,2.006512903310842e-15
214,2.0269318165664932e-15
215,2.0474236140364602e-15
216,2.0679864607500487e-15
217,2.088618486449832e-15
218,2.1093177845890194e-15
219,2.130082411430188e-15
220,2.150910385167244e-15
221,2.171799685224729e-15
222,2.192748251679183e-15
223,2.2137539848100066e-15
224,2.2348147448289703e-15
225,2.2559283517726346e-15
226,2.277092585573046e-15
227,2.298305186309143e-15
228,2.3195638546934414e-15
229,2.340866252714958e-15
230,2.362210004512671e-15
231,2.3835926974958566e-15
232,2.40501188361361e-15
233,2.4264650808873015e-15
234,2.4479497751308187e-15
235,2.4694634218827872e-15
236,2.491003448542358e-15
237,2.5125672566878383e-15
238,2.534152224615512e-15
239,2.5557557100010337e-15
240,2.5773750527607593e-15
241,2.5990075780604364e-15
242,2.620650599462886e-15
243,2.642301422137888e-15
244,2.663957346262203e-15
245,2.6856156704551416e-15
246,2.7072736952986032e-15
247,2.728928726881619e-15
248,2.7505780803866067e-15
249,2.772219083702415e-15
250,2.7938490810029436e-15
251,2.815465436308376e-15
252,2.8370655369758845e-15
253,2.8586467971477635e-15
254,2.880206661115557e-15
255,2.901742606533461e-15
256,2.923252147556095e-15
257,2.9447328378285155e-15
258,2.966182273282887e-15
259,2.987598094836506e-15
260,3.0089779908347878e-15
261,3.0303196993531537e-15
262,3.0516210102869847e-15
263,3.072879767207456e-15
264,3.0940938690629483e-15
265,3.115261271575518e-15
266,3.1363799884925265e-15
267,3.157448092571449e-15
268,3.1784637163467896e-15
269,3.199425052689224e-15
270,3.220330355155464e-15
271,3.2411779380958814e-15
272,3.2619661766097085e-15
273,3.2826935062695997e-15
274,3.3033584226597897e-15
275,3.3239594807994338e-15
276,3.344495294336586e-15
277,3.3649645346633123e-15
278,3.3853659298663902e-15
279,3.4056982636041805e-15
280,3.4259603738650075e-15
281,3.4461511516432276e-15
282,3.4662695396155967e-15
283,3.486314530720862e-15
284,3.5062851666707586e-15
285,3.5261805368650896e-15
286,3.5459997765263375e-15
287,3.565742065671775e-15
288,3.5854066277185865e-15
289,3.604992728286643e-15
290,3.62449967407293e-15
291,3.643926811770797e-15
292,3.6632735272475864e-15
293,3.682539244677454e-15
294,3.701723425975711e-15
295,3.720825570261953e-15
296,3.739845213569056e-15
297,3.758781928665089e-15
298,3.777635325065631e-15
299,3.796405049231761e-15
