l,TT
2,971.2330562389798
3,920.042198289694
4,870.2103014193465
5,832.5878482950677
6,806.5442444122413
7,789.7460711754776
8,779.4659339302674
9,774.3707703806535
10,773.1066323241105
11,774.3705299002185
12,778.795790664272
13,784.5048548297289
14,791.3847561131051
15,798.4130257830795
16,807.2576392651622
17,817.7685186584472
18,828.837512324463
19,841.2406673659996
20,853.3763132065197
21,865.9381594252108
22,878.9491164249057
23,892.0219531406877
24,905.4765393421999
25,919.4468200222923
26,933.4430611297931
27,947.8757843078363
28,962.5770544372134
29,977.4704692185222
30,992.7532859411853
31,1007.8207779544186
32,1023.4779518056644
33,1039.1932476499405
34,1054.9431998660807
35,1071.3099393848145
36,1087.3933973424262
37,1103.71487181209
38,1120.3777611172827
39,1137.2895538044113
40,1154.3774733647192
41,1171.5614178095457
42,1188.8434078988898
43,1206.232995583702
44,1223.7768747093146
45,1241.5365959451465
46,1259.4762412515477
47,1277.5785766864424
48,1295.8180397555295
49,1314.183924696709
50,1332.7323809064976
51,1351.5231136777475
52,1370.5037699667068
53,1389.6032675230208
54,1408.8025224505502
55,1428.0973074306823
56,1447.5995601770164
57,1467.4104645353414
58,1487.487377078307
59,1507.7430840613058
60,1528.1572266563062
61,1548.7368289543228
62,1569.4870222141471
63,1590.4254638823354
64,1611.5549544079756
65,1632.9005789838789
66,1654.499386631681
67,1676.3322857237495
68,1698.3624350519601
69,1720.5455647343572
70,1742.8522612678478
71,1765.2607804642353
72,1787.8840532569568
73,1810.8352515599386
74,1834.1235500935177
75,1857.750694951154
76,1881.6723486224441
77,1905.7638368858236
78,1930.0103973075697
79,1954.4566940519276
80,1979.1251060503878
81,2004.0401467870213
82,2029.2125834060346
83,2054.6181759021356
84,2080.2549692367033
85,2106.1135799626572
86,2132.1892656135983
87,2158.451277666881
88,2184.8809369822725
89,2211.4892778648596
90,2238.2799063381262
91,2265.263326370224
92,2292.440491702925
93,2319.826682416163
94,2347.4148936939046
95,2375.220405943566
96,2403.2362147106787
97,2431.462744094215
98,2459.907846758961
99,2488.5496621946277
100,2517.4034718763733
101,2546.4622724689707
102,2575.726489231844
103,2605.181690970234
104,2634.8283034360206
105,2664.659324274745
106,2694.667751371655
107,2724.8465828456087
108,2755.1813886909335
109,2785.6800241688834
110,2816.328059695056
111,2847.1183964899274
112,2878.050973351138
113,2909.1182031523817
114,2940.312498916167
115,2971.6262737976726
116,3003.0593694184245
117,3034.6041991489997
118,3066.2457480922185
119,3097.9838581172958
120,3129.81094279291
121,3161.7194157218837
122,3193.6942621762055
123,3225.7353241340634
124,3257.8350152165863
125,3289.978320676729
126,3322.1650824404373
127,3354.38028569777
128,3386.616343947593
129,3418.873098993459
130,3451.135535890787
131,3483.388871006755
132,3515.6415311512974
133,3547.8724610517575
134,3580.0828904519535
135,3612.259192369819
136,3644.4025965094975
137,3676.4994758735747
138,3708.5436318291695
139,3740.521437424747
140,3772.4415508103384
141,3804.2829168067606
142,3836.039337029706
143,3867.7120415635386
144,3899.2799755856277
145,3930.744369494241
146,3962.07674048412
147,3993.270891026192
148,4024.313195495011
149,4055.1900285476613
150,4085.887765152426
151,4116.3851663520045
152,4146.689963297873
153,4176.787416570638
154,4206.677643872543
155,4236.353335001905
156,4265.822036927654
157,4295.061583710082
158,4324.079523323306
159,4352.861119222055
160,4381.399063759093
161,4409.671193148641
162,4437.670200879168
163,4465.388781022181
164,4492.804771538449
165,4519.918296033299
166,4546.714622006735
167,4573.1864459028175
168,4599.326464755311
169,4625.127376180893
170,4650.581878369665
171,4675.675241722834
172,4700.415022239119
173,4724.779063045983
174,4748.760064481854
175,4772.358155724427
176,4795.558733427697
177,4818.355117881045
178,4840.733325148372
179,4862.694228379454
180,4884.23127272979
181,4905.330475330256
182,4925.992710306787
183,4946.211423698084
184,4965.972633423822
185,4985.277214303628
186,5004.1111846245485
187,5022.475419511014
188,5040.363365843767
189,5057.761042230501
190,5074.6693240284
191,5091.081658266566
192,5106.9840636207355
193,5122.369987090269
194,5137.247732326761
195,5151.603317863214
196,5165.437618847858
197,5178.751510328521
198,5191.545867239817
199,5203.799279342015
200,5215.527478015102
201,5226.716341116165
202,5237.35861477296
203,5247.4320482872145
204,5256.944104222774
205,5265.865103257403
206,5274.20250769152
207,5281.941494654504
208,5289.074669515934
209,5295.631779298598
210,5301.598000839348
211,5306.980795956368
212,5311.795054764885
213,5316.040810643633
214,5319.725525303559
215,5322.849232105809
216,5325.397107730272
217,5327.369185595373
218,5328.7654991762
219,5329.578653672411
220,5329.801254375951
221,5329.440763388098
222,5328.482357883574
223,5326.933500226059
224,5324.801652929835
225,5322.086850320148
226,5318.78169854186
227,5314.893660616701
228,5310.422771396739
229,5305.376494266702
230,5299.747436092517
231,5293.543060619004
232,5286.770831763408
233,5279.4233569062135
234,5271.500671930507
235,5263.0176695581185
236,5253.959529231334
237,5244.348572245737
238,5234.177406576018
239,5223.45349695307
240,5212.176879786549
241,5200.347591486247
242,5187.980525131709
243,5175.075717038533
244,5161.633203424563
245,5147.667877074651
246,5133.187202253027
247,5118.183786315206
248,5102.679949770976
249,5086.668299443468
250,5070.163726881804
251,5053.1587543400465
252,5035.660424848196
253,5017.6682687650855
254,4999.196672672578
255,4980.23030923813
256,4960.783563982243
257,4940.863393494315
258,4920.4841821020855
259,4899.652885142162
260,4878.391313984059
261,4856.698994254664
262,4834.597735918073
263,4812.094491505383
264,4789.196212799093
265,4765.902422469697
266,4742.220070766026
267,4718.163535508142
268,4693.732337032551
269,4668.925994891732
270,4643.751456206449
271,4618.23052402104
272,4592.355287209865
273,4566.154975640305
274,4539.621676683677
275,4512.769762033199
276,4485.62103102181
277,4458.174997241688
278,4430.438601967749
279,4402.426214181905
280,4374.152202248644
281,4345.616077241642
282,4316.832206372932
283,4287.814956321379
284,4258.563836561697
285,4229.093212795237
286,4199.410021929039
287,4169.536057156142
288,4139.470826233391
289,4109.221264910726
290,4078.8091653087517
291,4048.241462543815
