l,C_l^{TT}
0,0.0
1,0.0
2,975.3157827047639
3,922.4746069125041
4,870.0662358689297
5,829.4762103104343
6,800.4105953721142
7,780.8432148706804
8,768.3160551803016
9,761.2484176493647
10,758.4232406508837
11,758.4904259952966
12,761.8958349216608
13,766.6885848703325
14,772.8272903243682
15,779.2661003010445
16,787.586660867105
17,797.5996877594105
18,808.178825373311
19,820.1069284473709
20,831.7917159189228
21,843.9216031703069
22,856.5097882251398
23,869.1563385637816
24,882.1705180505713
25,895.6870365797738
26,909.2176806570827
27,923.1661434609391
28,937.3597159627777
29,951.7337880417056
30,966.4985618452647
31,981.0502988000967
32,996.1919239581644
33,1011.3894728708723
34,1026.6181644120934
35,1042.4634918031536
36,1058.027265580941
37,1073.8220521254834
38,1089.9415329590113
39,1106.2901487979238
40,1122.7937431210437
41,1139.3720851191188
42,1156.03206924476
43,1172.7893722194124
44,1189.6968132103677
45,1206.8220686854643
46,1224.1338496318035
47,1241.613562774767
48,1259.2327893389029
49,1276.9779674051772
50,1294.9023902403483
51,1313.0631363069813
52,1331.4061430442289
53,1349.858847784373
54,1368.400685843423
55,1387.0259486471446
56,1405.845669543895
57,1424.9624371718162
58,1444.3355896082385
59,1463.8798937909519
60,1483.5769706760243
61,1503.435505637162
62,1523.4610200512661
63,1543.6712428643082
64,1564.0690448929497
65,1584.6795805275417
66,1605.5399729852156
67,1626.6312284035532
68,1647.91660830637
69,1669.351944311402
70,1690.9079231907215
71,1712.5624750353104
72,1734.4265047225404
73,1756.6107321753473
74,1779.1218790201076
75,1801.959237205008
76,1825.076600942148
77,1848.349774245963
78,1871.7650589260572
79,1895.3681826165468
80,1919.182587029526
81,1943.2339047943408
82,1967.5342495533428
83,1992.0607843516948
84,2016.8129568856084
85,2041.7827862258043
86,2066.9665752410774
87,2092.333192466239
88,2117.863218831721
89,2143.566948886247
90,2169.4472491622173
91,2195.514007482336
92,2221.7680538478335
93,2248.2246681074475
94,2274.87684580539
95,2301.7398683683045
96,2328.80673308081
97,2356.077866554591
98,2383.5611247870665
99,2411.234651459048
100,2439.1137331258624
101,2467.1913724440183
102,2495.468001590624
103,2523.929197220821
104,2552.5753938668895
105,2581.3995988757465
106,2610.394820737931
107,2639.5540690572493
108,2668.86292616159
109,2698.3292604570174
110,2727.938656272059
111,2757.6840661391393
112,2787.5656275516435
113,2817.575989368501
114,2847.7078011479566
115,2877.953713069284
116,2908.3138042027654
117,2938.780725727941
118,2969.339700852403
119,2999.9908097824164
120,3030.72670459413
121,3061.5400375088825
122,3092.416032472086
123,3123.3547701381076
124,3154.3489027595638
125,3185.3836541341097
126,3216.4591046094943
127,3247.5604776451064
128,3278.6804248341255
129,3309.8190258843465
130,3340.9615035581237
131,3372.093326425933
132,3403.223232084945
133,3434.3304905730597
134,3465.4166568014484
135,3496.468428846939
136,3527.4873614072517
137,3558.4601524645896
138,3589.380928410988
139,3620.236387432008
140,3651.0355130009784
141,3681.757575528908
142,3712.3967025753873
143,3742.954450614668
144,3773.410091757083
145,3803.7651839781192
146,3833.9915727984353
147,3864.083389870521
148,3894.0273397147093
149,3923.8101282074244
150,3953.4184627190652
151,3982.8314234529416
152,4012.0570039884515
153,4041.0807143024413
154,4069.9029230940823
155,4098.5165728546635
156,4126.929465032194
157,4155.119690036109
158,4183.095054136892
159,4210.841081102514
160,4238.350725677416
161,4265.6020885988155
162,4292.588130053243
163,4319.301813019524
164,4345.721246599296
165,4371.84682778647
166,4397.664099721201
167,4423.166036732719
168,4448.345615968057
169,4473.195817358012
170,4497.709623570309
171,4521.872591600038
172,4545.692566099295
173,4569.147680842549
174,4592.230928734354
175,4614.9427333551175
176,4637.2687888796745
177,4659.202720254264
178,4680.730851118411
179,4701.854363636891
180,4722.567013307385
181,4742.855128814457
182,4762.719896930978
183,4782.15507731593
184,4801.147002361974
185,4819.69686209399
186,4837.790990617226
187,4855.43057936998
188,4872.609391928162
189,4889.3137638653425
190,4905.544887669305
191,4921.296527563836
192,4936.555019388928
193,4951.31412718997
194,4965.582471465955
195,4979.346387326091
196,4992.607066159444
197,5005.365698863803
198,5017.623475786391
199,5029.359301625488
200,5040.589222196553
201,5051.2993803992085
202,5061.482591385955
203,5071.116624081062
204,5080.20896014949
205,5088.72993886625
206,5096.687040650938
207,5104.065460307609
208,5110.8578204768255
209,5117.093885096069
210,5122.758847613946
211,5127.860186215974
212,5132.412807203242
213,5136.416760025366
214,5139.8795224184005
215,5142.801143793828
216,5145.166816978958
217,5146.976591708564
218,5148.230518013818
219,5148.921217959095
220,5149.041314075746
221,5148.598286141432
222,5147.577329501927
223,5145.985925238844
224,5143.831555177272
225,5141.114273585142
226,5137.826707213211
227,5133.976340375401
228,5129.563229916525
229,5124.594861919578
230,5119.063866649589
231,5112.97773193665
232,5106.343946444604
233,5099.155142926685
234,5091.411383219379
235,5083.127586522758
236,5074.288959216246
237,5064.917849915608
238,5055.006894213311
239,5044.563584661039
240,5033.587985588959
241,5022.080161315727
242,5010.055032699292
243,4997.512663577642
244,4984.453117303496
245,4970.891313272455
246,4956.83474169453
247,4942.276035061917
248,4927.237538065517
249,4911.711880606173
250,4895.713976059161
251,4879.236320256125
252,4862.285740861689
253,4844.861504331814
254,4826.977731518089
255,4808.618827395506
256,4789.798907700699
257,4770.524657025028
258,4750.810185368574
259,4730.662171303278
260,4710.102146898397
261,4689.129355855832
262,4667.76532351083
263,4646.016714993177
264,4623.8901918539
265,4601.384983655404
266,4578.507744626827
267,4555.2725536335665
268,4531.678629110762
269,4507.725185762699
270,4483.418862926461
271,4458.781152949783
272,4433.80383113095
273,4408.515810925736
274,4382.908860512259
275,4356.99702967228
276,4330.801793181139
277,4304.322337507416
278,4277.565274323846
279,4250.544640625433
280,4223.274470504406
281,4195.753938580845
282,4167.99707353953
283,4140.017901568777
284,4111.815589801501
285,4083.4041598587455
286,4054.7902029411707
287,4025.9951650204857
288,3997.0182052261184
289,3967.8659093801734
290,3938.559718476528
291,3909.1062154024935
292,3879.5045534044934
293,3849.7687412460755
294,3819.9127866056256
295,3789.9358394642727
296,3759.851905584766
297,3729.6601331772863
298,3699.381954705931
299,3669.023945180784
300,3638.5926788895545
301,3608.1021254454445
302,3577.566124479742
303,3546.9910542495654
304,3516.390720641935
305,3485.7789287941946
306,3455.154626352996
307,3424.539045174386
308,3393.9385595114104
309,3363.359542644249
310,3332.800938451225
311,3302.2914030738793
312,3271.822449672105
313,3241.41530347843
314,3211.0763315943227
315,3180.8044712351957
316,3150.6209430243343
317,3120.5321091339683
318,3090.5517582290217
319,3060.678820311271
320,3030.9196516681905
321,3001.302891475943
322,2971.812606555246
323,2942.477431489259
324,2913.2888566936167
325,2884.2680835004176
326,2855.4140256481405
327,2826.7404509854136
328,2798.253696384446
329,2769.960096067861
330,2741.8734099485505
331,2713.992538582085
