l,EE
2,0.01979628813916939
3,0.0424037929106666
4,0.05076465681434265
5,0.04259363484099361
6,0.030581883745044742
7,0.02422191898021717
8,0.023090765876605586
9,0.02333409720779452
10,0.023896680030564086
11,0.026220547765425484
12,0.03156057095328094
13,0.04030113601890533
14,0.053281468697905086
15,0.07252931960905488
16,0.10026632818143162
17,0.13853403897308803
18,0.18947810862908288
19,0.2559592515982819
20,0.34019250826495967
21,0.4451134996224183
22,0.5752460745922711
23,0.7345102883738465
24,0.9275790224915121
25,1.159830291511064
26,1.437916147938961
27,1.7690975077909763
28,2.1585987517696266
29,2.613408400498707
30,3.141849305129503
31,3.7531680520258197
32,4.461682612314159
33,5.271608017246645
34,6.1969326006457
35,7.244168158205716
36,8.42428578359255
37,9.755156042092844
38,11.249625678663453
39,12.921309839912924
40,14.785190016775232
41,16.857079433611247
42,19.153624157894985
43,21.692265694089446
44,24.490620427609457
45,27.566124640217794
46,30.936180352644666
47,34.62025904820211
48,38.63642910375652
49,43.002878617530754
50,47.74267339693313
51,52.879830468860824
52,58.436995305507374
53,64.43538173737366
54,70.89696378774593
55,77.84489766946783
56,85.30000300553893
57,93.28533242406971
58,101.82611059131949
59,110.94863442270038
60,120.67558898672878
61,131.02989710005795
62,142.0350041104515
63,153.71510468958112
64,166.09413482250935
65,179.19771250597344
66,193.04731916906144
67,207.66518818718694
68,223.07145729386258
69,239.28759758525496
70,256.33545582144177
71,274.2387691547943
72,293.02170621908743
73,312.70749021264567
74,333.3140440107298
75,354.85798250618865
76,377.35326723659284
77,400.81638903864643
78,425.26189559370863
79,450.70426093610945
80,477.1571781808907
81,504.633157632122
82,533.1439243634387
83,562.698259231051
84,593.3046480614994
85,624.9696137212061
86,657.7011948091751
87,691.5031322087538
88,726.378837317728
89,762.3304332639674
90,799.3529066919796
91,837.44447999326
92,876.5995457268301
93,916.8109434388041
94,958.0729199908047
95,1000.3738734114202
96,1043.7024659810497
97,1088.0444341385419
98,1133.3824294770181
99,1179.6993675157248
100,1226.9798103892151
101,1275.2017562299318
102,1324.3286683253243
103,1374.358869368793
104,1425.2387891776687
105,1476.9501108489908
106,1529.4598009287974
107,1582.746146999347
108,1636.7582364754337
109,1691.4700586614001
110,1746.8252951780519
111,1802.7933579493692
112,1859.3417066120535
113,1916.4056606826548
114,1973.9322826956518
115,2031.8974390798398
116,2090.2443141315807
117,2148.8969666686617
118,2207.8252936547356
119,2266.9647675254596
120,2326.2650988154965
121,2385.6567152477833
122,2445.084778520968
123,2504.492560217093
124,2563.803093962297
125,2622.973536480855
126,2681.922426367317
127,2740.603557101022
128,2798.9308712622233
129,2856.854716938067
130,2914.2843395431387
131,2971.166746187894
132,3027.4488517810582
133,3083.0348194737558
134,3137.911035329827
135,3191.9570906565027
136,3245.136042337507
137,3297.3667117539694
138,3348.611159471472
139,3398.7859229520304
140,3447.8287448826436
141,3495.7238893000763
142,3542.361459093729
143,3587.701097779397
144,3631.7029943336056
145,3674.27785141141
146,3715.4103263187912
147,3755.061337538341
148,3793.166363505769
149,3829.6865528203857
150,3864.5837205793687
151,3897.820122891198
152,3929.3577044755407
153,3959.1866831253164
154,3987.299416648459
155,4013.6332755838453
156,4038.2117806215538
157,4060.974207696114
158,4081.977959158572
159,4101.165468811194
160,4118.569913986138
161,4134.197582164142
162,4148.057244285042
163,4160.223409141867
164,4170.64829570784
165,4179.380797923558
166,4186.47404719768
167,4191.985481831529
168,4195.9769163596875
169,4198.5146108042745
170,4199.63497158287
171,4199.446916702961
172,4198.030450215969
173,4195.470297812871
174,4191.855975648878
175,4187.35468621499
176,4182.03129833792
177,4176.065360674233
178,4169.569402632054
179,4162.661101245686
180,4155.540385082279
181,4148.37694397966
182,4141.34756871098
183,4134.596433317841
184,4128.3537432819
185,4122.858814399374
186,4118.277944914196
187,4114.82895538752
188,4112.792102565895
189,4112.40694022205
190,4113.938394253718
191,4117.647412427189
192,4123.821055197878
193,4132.74694654684
194,4144.735284911158
195,4160.106081479419
196,4179.189269695188
197,4202.334037764076
198,4229.89077292167
199,4262.220115813054
200,4299.693069876852
201,4342.704643310288
202,4391.642913885275
203,4446.9153872284705
204,4508.93560421178
205,4578.132995443289
206,4654.938109786671
207,4739.807688079423
208,4833.199810082691
209,4935.5787031379095
210,5047.435557445791
211,5169.268227386542
212,5301.570417662482
213,5444.868762306214
214,5599.696743460881
215,5766.545137644709
216,5946.031359867919
217,6138.670042136277
218,6344.986290167595
219,6565.629694228006
220,6801.149693883092
221,7052.106496216375
222,7319.1882222813765
223,7602.9209878109
224,7903.959023776526
225,8222.849590474209
226,8560.331007627758
227,8917.034826253697
228,9293.542302296613
229,9690.568587444865
