l,BB
2,0.001704943757534836
3,0.0008774888223737895
4,0.0004629065705542883
5,0.00024370539722750052
6,0.00012810664870023403
7,6.881606691600759e-05
8,3.962152428177616e-05
9,2.6019781659248666e-05
10,2.0145860255530684e-05
11,1.7854343438642592e-05
12,1.7094931644484746e-05
13,1.690222204492947e-05
14,1.6872954913674765e-05
15,1.686174314188108e-05
16,1.682708711040726e-05
17,1.6766138647794026e-05
18,1.6682284279954957e-05
19,1.6581390560472034e-05
20,1.6468300103218316e-05
21,1.634608978716363e-05
22,1.6216852402127688e-05
23,1.608181168972042e-05
24,1.594183043820254e-05
25,1.579752226437367e-05
26,1.564973200757133e-05
27,1.5500431504788668e-05
28,1.5351177668934963e-05
29,1.5202294514441219e-05
30,1.5053778041557933e-05
31,1.4905443216360691e-05
32,1.475709769762839e-05
33,1.4608569952666903e-05
34,1.4459500661799472e-05
35,1.4308775330277215e-05
36,1.4155922796460425e-05
37,1.4002842296429697e-05
38,1.3851080404947711e-05
39,1.3699917600840796e-05
40,1.3548299070927962e-05
41,1.3395559690848761e-05
42,1.3241898045020584e-05
43,1.3087659371513344e-05
44,1.2933132875500412e-05
45,1.2778560601240883e-05
46,1.2624110925908624e-05
47,1.2469794352898216e-05
48,1.2315587786495464e-05
49,1.2161471090450243e-05
50,1.200742671880904e-05
51,1.1853467167492756e-05
52,1.1699709633225877e-05
53,1.1546279354524004e-05
54,1.1393282585292503e-05
55,1.124080919269208e-05
56,1.1088926687789521e-05
57,1.093765980674351e-05
58,1.0787020320258255e-05
59,1.063701648034581e-05
60,1.048765353902215e-05
61,1.0338950782893812e-05
62,1.0190987445072917e-05
63,1.0043846604422195e-05
64,9.897599150917463e-06
65,9.752305252664184e-06
66,9.608011008706994e-06
67,9.46473676649003e-06
68,9.322493763053535e-06
69,9.181289587897803e-06
70,9.041128653435285e-06
71,8.90202758522997e-06
72,8.764057234987274e-06
73,8.627292769495163e-06
74,8.49179903990562e-06
75,8.357631673055156e-06
76,8.224833484445496e-06
77,8.093422600725237e-06
78,7.963408435063224e-06
79,7.834796936593973e-06
80,7.707590983331253e-06
81,7.581794488672412e-06
82,7.4574232527110605e-06
83,7.334492802323434e-06
84,7.213014880479723e-06
85,7.092997838979797e-06
86,6.974449045473101e-06
87,6.857380989610287e-06
88,6.741804798110003e-06
89,6.627728432392092e-06
90,6.515157004606645e-06
91,6.404097925734745e-06
92,6.294574911433416e-06
93,6.186612262516495e-06
94,6.080230191142985e-06
95,5.975445191437793e-06
96,5.872270377828413e-06
97,5.770715793852293e-06
98,5.670788694814917e-06
99,5.572493805979724e-06
100,5.47583355886691e-06
101,5.3808083075180995e-06
102,5.2874165264432375e-06
103,5.195654991823273e-06
104,5.105518947832254e-06
105,5.01700225859026e-06
106,4.9300975476806055e-06
107,4.844796325877418e-06
108,4.761089108263887e-06
109,4.678965521495376e-06
110,4.598414401955621e-06
111,4.51942532635677e-06
112,4.4419928122603506e-06
113,4.366111732174524e-06
114,4.291775927846536e-06
115,4.218978309052072e-06
116,4.147710944536016e-06
117,4.0779651461177996e-06
118,4.009731545117878e-06
119,3.943000163119746e-06
120,3.877760476631743e-06
121,3.8140014764117267e-06
122,3.7517117217410844e-06
123,3.6908793901319954e-06
124,3.6314923227889364e-06
125,3.573538065961715e-06
126,3.517003908781487e-06
127,3.461876917713509e-06
128,3.4081439678108557e-06
129,3.3557917710712965e-06
130,3.304806902125547e-06
131,3.2551744902181798e-06
132,3.2068744061801964e-06
133,3.1598855436749038e-06
134,3.114187183111506e-06
135,3.069758982442187e-06
136,3.026580967667884e-06
137,2.9846335234153476e-06
138,2.9438973834348297e-06
139,2.9043536210457236e-06
140,2.865983639545592e-06
141,2.828769162885622e-06
142,2.7926922265071135e-06
143,2.7577351677831197e-06
144,2.7238806175664505e-06
145,2.691111491157357e-06
146,2.659410979843763e-06
147,2.6287625427267615e-06
148,2.5991498987920967e-06
149,2.570557019221942e-06
150,2.5429681200744496e-06
151,2.5163659254439314e-06
152,2.490726651802955e-06
153,2.4660254962773753e-06
154,2.4422383817209084e-06
155,2.4193419267377133e-06
156,2.3973134172887783e-06
157,2.376130779937223e-06
158,2.3557725565904636e-06
159,2.336217880520401e-06
160,2.3174464538160263e-06
161,2.299438526147778e-06
162,2.2821748745974353e-06
163,2.2656367848094865e-06
164,2.2498060331626005e-06
165,2.234664869967749e-06
166,2.2201960036084406e-06
167,2.2063825856979975e-06
168,2.1932081970067792e-06
169,2.180656834207094e-06
170,2.1687128974115002e-06
171,2.157361178380425e-06
172,2.146586849367919e-06
173,2.1363754526523715e-06
174,2.126712890497934e-06
175,2.117585415700895e-06
176,2.1089781800799757e-06
177,2.1008710280241498e-06
178,2.0932430354226674e-06
179,2.086073961558797e-06
180,2.0793442263899937e-06
181,2.0730348886743312e-06
182,2.06712762499671e-06
183,2.0616047096406054e-06
184,2.0564489952200755e-06
185,2.0516438939379533e-06
186,2.047173359663327e-06
187,2.043021870474228e-06
188,2.0391744118515374e-06
189,2.0356164603888966e-06
190,2.0323339680096134e-06
191,2.0293133466604597e-06
192,2.026541453376987e-06
193,2.0240055758796594e-06
194,2.021693418478716e-06
195,2.0195930883467664e-06
196,2.0176930822122244e-06
197,2.0159822733078446e-06
198,2.0144498987226416e-06
199,2.013085547002802e-06
200,2.0118791461332846e-06
201,2.0108209416975726e-06
202,2.009901456109593e-06
203,2.0091115089290924e-06
204,2.0084422161350174e-06
205,2.007884979454838e-06
206,2.0074314759990927e-06
207,2.0070736482013418e-06
208,2.0068036940385405e-06
209,2.0066140575453817e-06
210,2.006497419674849e-06
211,2.006446689417897e-06
212,2.006454995255537e-06
213,2.0065156769366455e-06
214,2.0066222775128765e-06
215,2.0067685357778353e-06
216,2.0069483789794773e-06
217,2.007155915825595e-06
218,2.007385429859793e-06
219,2.0076313731741587e-06
