l,delensing_efficiency
2,15.386720030461703
3,2.9035247213429196
4,0.8580071193076414
5,0.3317387470550899
6,0.15250178981457072
7,0.07905724029397351
8,0.04477214955684239
9,0.027132537054497478
10,0.017349981731125334
11,0.011585765186278872
12,0.00802259182904335
13,0.00572488034747419
14,0.004193051838373215
15,0.003139908155558036
16,0.002397581878203105
17,0.001862392069545139
18,0.0014686559097868185
19,0.0011739288776565265
20,0.0009498705929351631
21,0.0007770548910365686
22,0.0006419989534556538
23,0.0005352287377810681
24,0.0004499300017268651
25,0.0003811111175405526
26,0.0003250799306458188
27,0.0002790793273500254
28,0.00024102434451991894
29,0.00020932758105060353
30,0.00018275710538375085
31,0.00016033852336960291
32,0.00014130642549526896
33,0.00012506234208998205
34,0.00011112870155952643
35,9.911963714261312e-05
36,8.872221321442448e-05
37,7.968161772311044e-05
38,7.17890519740293e-05
39,6.487276468161623e-05
40,5.879037965386182e-05
41,5.34231128665841e-05
42,4.8671407023626e-05
43,4.4451509548172196e-05
44,4.069267541665988e-05
45,3.733489627104092e-05
46,3.432717130098679e-05
47,3.1626018823967814e-05
48,2.9194193630099678e-05
49,2.6999642965691434e-05
50,2.5014671434871997e-05
51,2.3215310845737195e-05
52,2.1580835750430673e-05
53,2.0093165898165806e-05
54,1.873652273778728e-05
55,1.749707093612196e-05
56,1.636265386389905e-05
57,1.5322619608413832e-05
58,1.4367561621194549e-05
59,1.3489149562377913e-05
60,1.2680002303154186e-05
61,1.1933544325277732e-05
62,1.1243899109881654e-05
63,1.0605817962477428e-05
64,1.001461918653296e-05
65,9.466100001048196e-06
66,8.956508389624807e-06
67,8.482495525431644e-06
68,8.041054229087503e-06
69,7.629470805466132e-06
70,7.245293454444771e-06
71,6.886306965331585e-06
72,6.550519381670703e-06
73,6.236125304712177e-06
74,5.941481149773436e-06
75,5.665094727640034e-06
76,5.405595845968131e-06
77,5.161725427477478e-06
78,4.932333727058687e-06
79,4.716365403567059e-06
80,4.512855924385597e-06
81,4.320923057144683e-06
82,4.139757590307473e-06
83,3.9686177542034745e-06
84,3.806822926373495e-06
85,3.6537419913413545e-06
86,3.5087991890421324e-06
87,3.3714624054426295e-06
88,3.241243126044112e-06
89,3.1176879697564996e-06
90,3.0003780132031976e-06
91,2.888925719080892e-06
92,2.78297247080069e-06
93,2.6821859584393717e-06
94,2.5862564560511546e-06
95,2.4948977017112405e-06
96,2.4078412020240386e-06
97,2.324838017742704e-06
98,2.2456560624453187e-06
99,2.170078554276867e-06
100,2.0979028178051563e-06
