l,TT
2,1066.7490909181017
3,992.5157715236157
4,926.523945671231
5,877.6223074490769
6,843.6690045200833
7,821.2380577345149
8,806.7000805712267
9,798.2644302922032
10,794.3973969927295
11,793.6566685730902
12,796.5784346194268
13,801.0450961284631
14,806.8328725067756
15,813.0087607444594
16,821.1719242755502
17,831.1489497678249
18,841.8235196125759
19,853.9181043099823
20,865.7850608360503
21,878.1479539971352
22,891.0622440208843
23,904.1082003824112
24,917.5653024248184
25,931.5605897346559
26,945.6066933665237
27,960.1200963396979
28,974.9402128721241
29,989.9999445080771
30,1005.498386308793
31,1020.800829284696
32,1036.6826176375343
33,1052.615627761445
34,1068.589319051634
35,1085.2036023730936
36,1101.5728027878156
37,1118.2142117045082
38,1135.2223431124808
39,1152.4946895421538
40,1169.9482010893546
41,1187.4950785166993
42,1205.1399478012806
43,1222.8975421482412
44,1240.8197371717179
45,1258.9732657522302
46,1277.3261151523095
47,1295.8598479207196
48,1314.546420974188
49,1333.3726480637351
50,1352.392198107239
51,1371.66295683987
52,1391.1333955096925
53,1410.7339168857316
54,1430.4469217144404
55,1450.2696668487117
56,1470.3149132102858
57,1490.6820255998048
58,1511.3258804085926
59,1532.15678289555
60,1553.1518923470985
61,1574.3165691831537
62,1595.6575566584804
63,1617.1949423158349
64,1638.9339555840181
65,1660.9021094817617
66,1683.138368610205
67,1705.623511463246
68,1728.3200546770838
69,1751.183084998963
70,1774.1825443471803
71,1797.2957559448562
72,1820.6335696960832
73,1844.3067885345251
74,1868.3222171102238
75,1892.6792304065962
76,1917.3321226222695
77,1942.158865531652
78,1967.1483456523401
79,1992.3488753314962
80,2017.7864809975913
81,2043.4881503781014
82,2069.462433733986
83,2095.6817011075595
84,2122.1406071891533
85,2148.826378039287
86,2175.7316378829205
87,2202.8260340919
88,2230.0920407985027
89,2257.5418457459073
90,2285.180208653486
91,2313.01844400586
92,2341.0569423883667
93,2369.3100777102354
94,2397.76993957158
95,2426.450903451989
96,2455.3450606880824
97,2484.451931945001
98,2513.7784672778694
99,2543.301904432627
100,2573.036624040707
101,2602.974722849636
102,2633.1157271467314
103,2663.4443077211736
104,2693.9599932680544
105,2724.6548853311383
106,2755.5210866373723
107,2786.550701072311
108,2817.7284052969244
109,2849.0611621078706
110,2880.533650288115
111,2912.1379652693568
112,2943.87358101929
113,2975.7325313290576
114,3007.706850778996
115,3039.788574666846
116,3071.9771672841416
117,3104.2646651407267
118,3136.635676889665
119,3169.089668303746
120,3201.6186771523517
121,3234.2147414821216
122,3266.8624712008686
123,3299.561333067156
124,3332.303365583883
125,3365.073178948959
126,3397.8702400637985
127,3430.6791590978487
128,3463.4919745132315
129,3496.3081530475642
130,3529.112304655385
131,3561.889164547878
132,3594.646254267505
133,3627.361507246315
134,3660.0351419526396
135,3692.652520182332
136,3725.2138605123237
137,3757.7045249620405
138,3790.117304116092
139,3822.4375605048226
140,3854.672942094979
141,3886.801383935603
142,3918.815678364535
143,3950.716046769712
144,3982.4804263054784
145,4014.109040116239
146,4045.5723990107876
147,4076.863300043046
148,4107.967113241953
149,4138.869210093433
150,4169.554963671868
151,4200.002282585187
152,4230.218639349405
153,4260.189185565516
154,4289.913931625199
155,4319.385461774133
156,4348.611219270196
157,4377.5689363819
158,4406.266061281878
159,4434.687759677359
160,4462.826628283384
161,4490.660409833546
162,4518.181706531216
163,4545.383123387439
164,4572.242411546623
165,4598.759610051462
166,4624.919904092603
167,4650.715910047484
168,4676.14024710531
169,4701.185537229551
170,4725.844405107896
171,4750.102049739735
172,4773.965957763081
173,4797.413904917442
174,4820.438526049248
175,4843.039886655516
176,4865.203356401825
177,4886.922370101477
178,4908.183094831723
179,4928.986556162818
180,4949.326352964153
181,4969.188657256756
182,4988.574499113254
183,5007.477481454177
184,5025.88377989401
185,5043.7944276381295
186,5061.195601929257
187,5078.088337298322
188,5094.4662403670745
189,5110.315489706
190,5125.6371207485645
191,5140.424740610496
192,5154.664527967258
193,5168.350089640284
194,5181.4898888419675
195,5194.070103328851
196,5206.091767067537
197,5217.5559134596115
198,5228.463575278133
199,5238.793499564784
200,5248.561574391283
201,5257.753977911319
202,5266.364332793815
203,5274.371408466694
204,5281.783686990313
205,5288.57250792105
206,5294.746351839915
207,5300.291413586367
208,5305.201315704187
209,5309.506821895637
210,5313.194125229341
211,5316.2717033597355
212,5318.755461899369
213,5320.646449445532
214,5321.953142711896
215,5322.676589911307
216,5322.802982490107
217,5322.333368613818
218,5321.268796550295
219,5319.6028864009395
220,5317.329258529086
221,5314.456390334176
222,5310.970474568685
223,5306.879989501208
224,5302.193413919767
225,5296.911798827143
226,5291.02876747714
227,5284.552800451521
228,5277.484950624664
229,5269.833699868124
230,5261.592673992068
231,5252.770356126231
232,5243.375229986862
233,5233.40092313094
234,5222.848491948921
235,5211.7338499442585
236,5200.043197548646
237,5187.799877178772
238,5174.997517976673
239,5161.644605792517
240,5147.742198004322
241,5133.291351728648
242,5118.307980372243
243,5102.793140073805
244,5086.747886239808
245,5070.1881300739315
246,5053.122353349929
247,5035.544179880841
248,5017.476945436985
249,4998.914270758729
250,4979.872059822502
251,4960.3438466301905
252,4940.337688005046
253,4919.854127133776
254,4898.9085613663765
255,4877.4866719453385
256,4855.60385064526
257,4833.268057867264
258,4810.494679194277
259,4787.291668555402
260,4763.681833152565
261,4739.665691597017
262,4715.266043911166
263,4690.490829690906
264,4665.347984733461
265,4639.838012628679
266,4613.968841415608
267,4587.75582355329
268,4561.199450855619
269,4534.300211192233
270,4507.066016853802
271,4479.51963293167
272,4451.654107259781
273,4423.499625623845
274,4395.049228328691
275,4366.318237082361
276,4337.329398389143
277,4308.0831702526975
278,4278.5874356908
279,4248.8575028576815
280,4218.908676823646
281,4188.741403010792
282,4158.370980735439
283,4127.812706653013
284,4097.067018205667
285,4066.149207172875
286,4035.067134770498
287,4003.8435168503383
288,3972.4787822954395
289,3940.9807865642088
290,3909.3722401791947
291,3877.6609954589385
292,3845.8474749943475
293,3813.9469568178783
294,3781.974717812882
295,3749.9311771135744
296,3717.8316095964065
297,3685.6764325587183
298,3653.48834753844
299,3621.275198619668
300,3589.044829178101
301,3556.812269938906
302,3524.5915896715182
303,3492.389187823725
304,3460.218891544157
305,3428.0945273171906
306,3396.015064236405
307,3364.0017557190836
308,3332.0609977081394
309,3300.1991853164204
310,3268.415284411692
311,3236.737973295436
312,3205.1587874714332
313,3173.6989747131593
314,3142.3649248728293
315,3111.1555981387373
316,3080.092238341078
317,3049.1812311044405
318,3018.436388802471
319,2987.856665412427
320,2957.4484414738686
321,2927.2403807009364
322,2897.2165747469285
323,2867.4056833303207
324,2837.7992223123533
325,2808.4184187879832
326,2779.262212582196
327,2750.3443979596027
328,2721.67133854315
329,2693.249395645698
330,2665.0923566141114
331,2637.1991497854265
332,2609.5835579082736
333,2582.2445047761453
334,2555.1957686767305
335,2528.451125753913
336,2502.0094933839246
337,2475.87721531677
338,2450.060633430421
339,2424.5735161989264
340,2399.422202122706
341,2374.605599871701
342,2350.130045140696
343,2326.0018724647734
344,2302.219987044793
345,2278.7907216326707
346,2255.7204083739384
347,2233.0079506572297
348,2210.6596800202824
349,2188.689356360012
350,2167.095883095151
351,2145.8929214652885
352,2125.086307744129
353,2104.674351407359
354,2084.662791364404
355,2065.0647961691843
356,2045.8712508255321
357,2027.087898739305
358,2008.720485212036
359,1990.7673292770019
360,1973.22675222693
361,1956.1045061318664
362,1939.3989172955744
363,1923.1231714516591
364,1907.260743795227
365,1891.832254255472
366,1876.8286124504498
367,1862.2555878819046
368,1848.1115249638794
369,1834.394771438201
370,1821.1185351260551
371,1808.2663138634764
372,1795.8513223264351
373,1783.8644935885916
374,1772.3116208688602
375,1761.1836441140697
376,1750.4863633715797
377,1740.225582049065
378,1730.3848218135306
379,1720.9773209831794
380,1712.001464357352
381,1703.4482114905481
382,1695.323381660364
383,1687.6253687284707
384,1680.3451410480334
385,1673.4810980685143
386,1667.0390702380546
387,1661.01746220464
388,1655.3998243679991
389,1650.1919945346606
390,1645.3923844235803
391,1640.999407926949
392,1636.99662432525
393,1633.3973083103372
394,1630.1850231119702
395,1627.3581905356878
396,1624.9152342073112
397,1622.8471511770294
398,1621.1597969344296
399,1619.8441719822283
400,1618.8987068726183
401,1618.3219866443258
402,1618.1057808521355
403,1618.2494419152379
404,1618.7523240073267
405,1619.5989263982472
406,1620.7886069081187
407,1622.3207252705704
408,1624.187214856362
409,1626.3725827568146
410,1628.8910516273809
411,1631.712276285593
412,1634.8504840217886
413,1638.2976195609465
414,1642.0456302328846
415,1646.0790377457743
416,1650.412080064363
417,1655.0218563867638
418,1659.9151824266341
419,1665.0765920910496
420,1670.512907710107
421,1676.2086700608072
422,1682.1558518895083
423,1688.3612863785283
424,1694.8095255049905
425,1701.492553544559
426,1708.4097871657482
427,1715.5383621138126
428,1722.8925600872778
429,1730.442096948508
430,1738.186406277531
431,1746.1249260096915
432,1754.2422417605364
433,1762.545228588691
434,1771.0110525415987
435,1779.6465974405837
436,1788.4438947478345
437,1797.394980220738
438,1806.4918938511296
439,1815.7341081403695
440,1825.1062429592891
441,1834.6003504958708
442,1844.2010584384207
443,1853.9078548973164
444,1863.7053748630203
445,1873.5856851046317
446,1883.540855657088
447,1893.5629596492
448,1903.6589298237761
449,1913.8134165986435
450,1924.0185012736843
451,1934.2739586570049
452,1944.5806169874147
453,1954.917284202357
454,1965.2850550070636
455,1975.6701689159327
456,1986.0662950968547
457,1996.4671038166812
458,2006.8588378900047
459,2017.2277408328573
460,2027.5897700726684
461,2037.916313261241
462,2048.2307566509526
463,2058.5044880225564
464,2068.760893429143
465,2078.971360142964
466,2089.1518450695016
467,2099.2885911167955
468,2109.3678404797197
469,2119.3906912355096
470,2129.34338384977
471,2139.212157796058
472,2148.99810818755
473,2158.687472319179
474,2168.2813430235224
475,2177.7733835863874
476,2187.1646844246575
477,2196.441478023403
478,2205.6122806848844
479,2214.6781791345193
480,2223.6179738357896
481,2232.447605815242
482,2241.1384448394324
483,2249.699001303099
484,2258.115499467304
485,2266.3741625539965
486,2274.483497843172
487,2282.4297266192802
488,2290.2064976205293
489,2297.8223154367256
490,2305.2633988038156
491,2312.5308223980446
492,2319.6256601744417
493,2326.5489854008833
494,2333.2944423360113
495,2339.855674600866
496,2346.233753542894
497,2352.414893190564
498,2358.400163650645
499,2364.1832060440674
500,2369.75766083257
501,2375.117266902341
502,2380.2635872226697
503,2385.1908547356015
504,2389.900729871015
505,2394.4023004677697
506,2398.682368282667
507,2402.7500189909074
508,2406.5994803231247
509,2410.224978643855
510,2413.6430238704793
511,2416.8329825301935
512,2419.811361112966
513,2422.56495076196
514,2425.0953972107827
515,2427.4043439127063
516,2429.493431865322
517,2431.3568710809086
518,2432.988868754325
519,2434.3984857792734
520,2435.5724948120765
521,2436.5199501886004
522,2437.2350459899835
523,2437.71197256283
524,2437.9672013935005
525,2437.9874864848834
526,2437.789290992978
527,2437.366788616855
528,2436.7215768494952
529,2435.8552484864563
530,2434.776819845014
531,2433.4730172428376
532,2431.9602753409504
533,2430.23273859537
534,2428.2845462240175
535,2426.1321171868562
536,2423.7621516771474
537,2421.191057880365
538,2418.4129534934305
539,2415.436807461115
540,2412.249298224079
541,2408.8742405341627
542,2405.305730329222
543,2401.5378581746586
544,2397.5869943677467
545,2393.4546472524767
546,2389.1348916478246
547,2384.63665398776
548,2379.961427370244
549,2375.1107000168736
550,2370.0859553910573
551,2364.9033581320837
552,2359.548671409188
553,2354.0371965394547
554,2348.3768022723807
555,2342.560496586689
556,2336.588711890733
557,2330.484161874148
558,2324.232414857419
559,2317.841320744798
560,2311.3112977725277
561,2304.65761770612
562,2297.8658358817174
563,2290.951218146378
564,2283.9215992396676
565,2276.7625262197785
566,2269.4892570349352
567,2262.109618884206
568,2254.616579971144
569,2247.0179630000366
570,2239.314160211367
571,2231.5129901591963
572,2223.6222694282583
573,2215.6423843414123
574,2207.573719357945
575,2199.4389421628
576,2191.2235768936685
577,2182.950287663462
578,2174.61202341928
579,2166.216588046809
580,2157.7717836649513
581,2149.28541061377
582,2140.75783908569
583,2132.1894374514427
584,2123.5954289313063
585,2114.976178160742
586,2106.3320478543237
587,2097.6708271171424
588,2089.007731404643
589,2080.3282607308706
590,2071.655054780869
591,2062.9884660704593
592,2054.328844961398
593,2045.6839679796199
594,2037.0541810872598
595,2028.4546847113713
596,2019.8858203272075
597,2011.3479271501396
598,2002.8487704852337
599,1994.3961133849396
600,1985.9902883160398
601,1977.6462251630198
602,1969.3481099407113
603,1961.1244395680353
604,1952.959138798491
605,1944.858415442781
606,1936.8359037501016
607,1928.882951100411
608,1921.0131882106211
609,1913.2328158495984
610,1905.5257482647364
611,1897.920468472044
612,1890.4008882013504
613,1882.9732032066447
614,1875.6584650832385
615,1868.433154641863
616,1861.325750646001
617,1854.3275898001796
618,1847.4448653993954
619,1840.6763424815504
620,1834.028214735719
621,1827.514104713548
622,1821.1253506422927
623,1814.86072004149
624,1808.7338382894977
625,1802.7434754383783
626,1796.8958314790982
627,1791.1822515028002
628,1785.623796010904
629,1780.2043859670703
630,1774.9376581483668
631,1769.822395236495
632,1764.8573827039995
633,1760.056265692685
634,1755.410407431774
635,1750.9260311494122
636,1746.6093635226873
637,1742.459206467674
638,1738.4743656193277
639,1734.6610788003882
640,1731.0181594282978
641,1727.551853311706
642,1724.253553684243
643,1721.1443713790538
644,1718.2008513879487
645,1715.4441131148362
646,1712.8729952629499
647,1710.478912564211
648,1708.2681408486299
649,1706.2395320024953
650,1704.406799018893
651,1702.753877061062
652,1701.2867154184005
