l,TT
2,1.43604622e-10
3,1.33611400e-10
4,1.24727759e-10
5,1.18144715e-10
6,1.13573826e-10
7,1.10554154e-10
8,1.08597228e-10
9,1.07461758e-10
10,1.06941184e-10
11,1.06841331e-10
12,1.07234621e-10
13,1.07836045e-10
14,1.08615384e-10
15,1.09446770e-10
16,1.10545640e-10
17,1.11888728e-10
18,1.13325773e-10
19,1.14954018e-10
20,1.16551631e-10
21,1.18215973e-10
22,1.19954480e-10
23,1.21710710e-10
24,1.23522350e-10
25,1.25406464e-10
26,1.27297399e-10
27,1.29251230e-10
28,1.31246355e-10
29,1.33273733e-10
30,1.35360161e-10
31,1.37420215e-10
32,1.39558289e-10
33,1.41703262e-10
34,1.43853688e-10
35,1.46090326e-10
36,1.48293955e-10
37,1.50534238e-10
38,1.52823919e-10
39,1.55149189e-10
40,1.57498852e-10
41,1.59861076e-10
42,1.62236483e-10
43,1.64627064e-10
44,1.67039804e-10
45,1.69483694e-10
46,1.71954425e-10
47,1.74449512e-10
48,1.76965174e-10
49,1.79499631e-10
50,1.82060100e-10
51,1.84654372e-10
52,1.87275514e-10
53,1.89914163e-10
54,1.92567959e-10
55,1.95236538e-10
56,1.97935085e-10
57,2.00676973e-10
58,2.03456124e-10
59,2.06260459e-10
60,2.09086897e-10
61,2.11936156e-10
62,2.14809144e-10
63,2.17708568e-10
64,2.20635130e-10
65,2.23592538e-10
66,2.26586037e-10
67,2.29613040e-10
68,2.32668503e-10
69,2.35746379e-10
70,2.38842625e-10
71,2.41954187e-10
72,2.45095986e-10
73,2.48282938e-10
74,2.51515956e-10
75,2.54794954e-10
76,2.58113779e-10
77,2.61456002e-10
78,2.64820129e-10
79,2.68212662e-10
80,2.71637107e-10
81,2.75097096e-10
82,2.78593782e-10
83,2.82123446e-10
84,2.85685370e-10
85,2.89277836e-10
86,2.92899850e-10
87,2.96547328e-10
88,3.00217907e-10
89,3.03913229e-10
90,3.07633932e-10
91,3.11381538e-10
92,3.15156100e-10
93,3.18959554e-10
94,3.22790833e-10
95,3.26651873e-10
96,3.30541610e-10
97,3.34459979e-10
98,3.38407914e-10
99,3.42382353e-10
100,3.46385230e-10
101,3.50415482e-10
102,3.54473046e-10
103,3.58555856e-10
104,3.62663850e-10
105,3.66795964e-10
106,3.70951136e-10
107,3.75128301e-10
108,3.79325398e-10
109,3.83543363e-10
110,3.87780134e-10
111,3.92034647e-10
112,3.96306831e-10
113,4.00595613e-10
114,4.04899922e-10
115,4.09218685e-10
116,4.13551831e-10
117,4.17898287e-10
118,4.22255981e-10
119,4.26624843e-10
120,4.31003799e-10
121,4.35391778e-10
122,4.39786709e-10
123,4.44188519e-10
124,4.48596138e-10
125,4.53007494e-10
126,4.57422514e-10
127,4.61839127e-10
128,4.66256262e-10
129,4.70673848e-10
130,4.75089811e-10
131,4.79502097e-10
132,4.83911720e-10
133,4.88315707e-10
134,4.92714089e-10
135,4.97104893e-10
136,5.01488151e-10
137,5.05861890e-10
138,5.10225139e-10
139,5.14575930e-10
140,5.18915289e-10
141,5.23240248e-10
142,5.27549835e-10
143,5.31844080e-10
144,5.36120013e-10
145,5.40377664e-10
146,5.44613062e-10
147,5.48825238e-10
148,5.53012222e-10
149,5.57172045e-10
150,5.61302737e-10
151,5.65401324e-10
152,5.69468813e-10
153,5.73503204e-10
154,5.77504499e-10
155,5.81471701e-10
156,5.85405810e-10
157,5.89303830e-10
158,5.93166763e-10
159,5.96992613e-10
160,6.00780383e-10
161,6.04527077e-10
162,6.08231700e-10
163,6.11893255e-10
164,6.15508748e-10
165,6.19078185e-10
166,6.22599572e-10
167,6.26071913e-10
168,6.29494217e-10
169,6.32865490e-10
170,6.36184739e-10
171,6.39449972e-10
172,6.42662197e-10
173,6.45818423e-10
174,6.48917658e-10
175,6.51959911e-10
176,6.54943213e-10
177,6.57866680e-10
178,6.60728451e-10
179,6.63528663e-10
180,6.66266455e-10
181,6.68939965e-10
182,6.71549332e-10
183,6.74093696e-10
184,6.76571196e-10
185,6.78981970e-10
186,6.81324159e-10
187,6.83597901e-10
188,6.85802336e-10
189,6.87935604e-10
190,6.89997844e-10
191,6.91988196e-10
192,6.93904799e-10
193,6.95746793e-10
194,6.97515318e-10
195,6.99208512e-10
196,7.00826516e-10
197,7.02369468e-10
198,7.03837508e-10
199,7.05227775e-10
200,7.06542408e-10
201,7.07779546e-10
202,7.08938332e-10
203,7.10015907e-10
204,7.11013413e-10
205,7.11926992e-10
206,7.12757786e-10
207,7.13503936e-10
208,7.14164585e-10
209,7.14743873e-10
210,7.15239943e-10
211,7.15653935e-10
212,7.15987991e-10
213,7.16242253e-10
214,7.16417861e-10
215,7.16514956e-10
216,7.16531681e-10
217,7.16468176e-10
218,7.16324582e-10
219,7.16100042e-10
220,7.15793695e-10
221,7.15406684e-10
222,7.14937150e-10
223,7.14386234e-10
224,7.13755078e-10
225,7.13043824e-10
226,7.12251613e-10
227,7.11379587e-10
228,7.10427888e-10
229,7.09397657e-10
230,7.08288038e-10
231,7.07100171e-10
232,7.05835200e-10
233,7.04492266e-10
234,7.03071513e-10
235,7.01575081e-10
236,7.00001114e-10
237,6.98352753e-10
238,6.96629143e-10
239,6.94831424e-10
240,6.92959740e-10
241,6.91014233e-10
242,6.88997045e-10
243,6.86908318e-10
244,6.84748196e-10
245,6.82518818e-10
246,6.80221329e-10
247,6.77854869e-10
248,6.75422579e-10
249,6.72923602e-10
250,6.70360078e-10
251,6.67731137e-10
252,6.65037863e-10
253,6.62280330e-10
254,6.59460611e-10
255,6.56576778e-10
256,6.53630903e-10
257,6.50624057e-10
258,6.47558313e-10
259,6.44434741e-10
260,6.41256410e-10
261,6.38023392e-10
262,6.34738755e-10
263,6.31403569e-10
264,6.28018901e-10
265,6.24584819e-10
266,6.21102391e-10
267,6.17573684e-10
268,6.13998763e-10
269,6.10377694e-10
270,6.06711543e-10
271,6.03003374e-10
272,5.99252251e-10
273,5.95462238e-10
274,5.91632398e-10
275,5.87764793e-10
276,5.83862486e-10
277,5.79925538e-10
278,5.75955010e-10
279,5.71952963e-10
280,5.67921457e-10
281,5.63860553e-10
282,5.59772309e-10
283,5.55658786e-10
284,5.51520041e-10
285,5.47358133e-10
286,5.43174121e-10
287,5.38971062e-10
288,5.34749014e-10
289,5.30509034e-10
290,5.26254180e-10
291,5.21985509e-10
292,5.17703076e-10
293,5.13408940e-10
294,5.09105157e-10
295,5.04791781e-10
