x,y
2.000000000000000000e+00,1.117097002911626078e+03
3.000000000000000000e+00,5.196800253162190302e+02
4.000000000000000000e+00,2.910760494882810008e+02
5.000000000000000000e+00,1.838087609563227431e+02
6.000000000000000000e+00,1.262125917922363385e+02
7.000000000000000000e+00,9.214270860074508107e+01
8.000000000000000000e+00,7.039786242122583815e+01
9.000000000000000000e+00,5.572936154609754311e+01
1.000000000000000000e+01,4.537586744185500720e+01
1.100000000000000000e+01,3.777797177374694115e+01
1.200000000000000000e+01,3.208365951825443574e+01
1.300000000000000000e+01,2.765447823789652304e+01
1.400000000000000000e+01,2.414038016588146718e+01
1.500000000000000000e+01,2.128451714969299857e+01
1.600000000000000000e+01,1.896902730274905835e+01
1.700000000000000000e+01,1.706622036589810065e+01
1.800000000000000000e+01,1.546588758510630868e+01
1.900000000000000000e+01,1.411927785792736856e+01
2.000000000000000000e+01,1.295211332425258810e+01
2.100000000000000000e+01,1.194278358595060396e+01
2.200000000000000000e+01,1.106464282351349659e+01
2.300000000000000000e+01,1.029108639830845640e+01
2.400000000000000000e+01,9.608721605893133955e+00
2.500000000000000000e+01,9.004873251195659734e+00
2.600000000000000000e+01,8.463563783076589075e+00
2.700000000000000000e+01,7.979645748872522759e+00
2.800000000000000000e+01,7.544002075842850985e+00
2.900000000000000000e+01,7.149830719159829151e+00
3.000000000000000000e+01,6.793260555188306071e+00
3.100000000000000000e+01,6.465605211628568938e+00
3.200000000000000000e+01,6.168246621899847959e+00
3.300000000000000000e+01,5.894633071848210726e+00
3.400000000000000000e+01,5.642137723001767746e+00
3.500000000000000000e+01,5.411535384702392371e+00
3.600000000000000000e+01,5.196235373554455528e+00
3.700000000000000000e+01,4.997117172350190373e+00
3.800000000000000000e+01,4.812963527548255627e+00
3.900000000000000000e+01,4.641882771710521105e+00
4.000000000000000000e+01,4.482317428379861468e+00
4.100000000000000000e+01,4.332898237422881493e+00
4.200000000000000000e+01,4.192755661063795714e+00
4.300000000000000000e+01,4.061147457813723882e+00
4.400000000000000000e+01,3.937524983270861867e+00
4.500000000000000000e+01,3.821430631884242590e+00
4.600000000000000000e+01,3.712153397442316649e+00
4.700000000000000000e+01,3.609098566200171110e+00
4.800000000000000000e+01,3.511708084864440416e+00
4.900000000000000000e+01,3.419520812884355276e+00
5.000000000000000000e+01,3.332286020430999862e+00
5.100000000000000000e+01,3.249777991680341760e+00
5.200000000000000000e+01,3.171534047145814217e+00
5.300000000000000000e+01,3.097100560508330602e+00
5.400000000000000000e+01,3.026182663154587171e+00
5.500000000000000000e+01,2.958543070971914268e+00
5.600000000000000000e+01,2.894191951646972960e+00
5.700000000000000000e+01,2.833100731102788483e+00
5.800000000000000000e+01,2.774967885441471882e+00
5.900000000000000000e+01,2.719441933621302709e+00
6.000000000000000000e+01,2.666322560324487778e+00
6.100000000000000000e+01,2.615473874572518120e+00
6.200000000000000000e+01,2.566772060882511752e+00
6.300000000000000000e+01,2.520122814722804971e+00
6.400000000000000000e+01,2.475414803942522557e+00
6.500000000000000000e+01,2.432577086547972556e+00
6.600000000000000000e+01,2.391558195709138968e+00
6.700000000000000000e+01,2.352227552569530644e+00
6.800000000000000000e+01,2.314440612070146841e+00
6.900000000000000000e+01,2.278055488886691737e+00
7.000000000000000000e+01,2.242961337763896612e+00
7.100000000000000000e+01,2.209065411671210732e+00
7.200000000000000000e+01,2.176441803449153056e+00
7.300000000000000000e+01,2.145153879856392720e+00
7.400000000000000000e+01,2.115137760558276181e+00
7.500000000000000000e+01,2.086325287690642849e+00
7.600000000000000000e+01,2.058604373553685196e+00
7.700000000000000000e+01,2.031792173685114111e+00
7.800000000000000000e+01,2.005835329073078821e+00
7.900000000000000000e+01,1.980743170886289928e+00
8.000000000000000000e+01,1.956500915688517805e+00
8.100000000000000000e+01,1.933094570281841174e+00
8.200000000000000000e+01,1.910492973606727540e+00
8.300000000000000000e+01,1.888633888633473035e+00
8.400000000000000000e+01,1.867479193882688016e+00
8.500000000000000000e+01,1.846986710032127332e+00
8.600000000000000000e+01,1.827121539349562784e+00
8.700000000000000000e+01,1.807832059960679860e+00
8.800000000000000000e+01,1.789080618766917263e+00
8.900000000000000000e+01,1.770855355053478242e+00
9.000000000000000000e+01,1.753138963876218259e+00
9.100000000000000000e+01,1.735919810379535244e+00
9.200000000000000000e+01,1.719178525331042984e+00
9.300000000000000000e+01,1.702906755851782528e+00
9.400000000000000000e+01,1.687080530991220906e+00
9.500000000000000000e+01,1.671692613368388702e+00
9.600000000000000000e+01,1.656720752336412472e+00
9.700000000000000000e+01,1.642148870901073421e+00
9.800000000000000000e+01,1.627966488025811120e+00
9.900000000000000000e+01,1.614144618969696410e+00
1.000000000000000000e+02,1.600679218543247240e+00
1.010000000000000000e+02,1.587552547961907257e+00
1.020000000000000000e+02,1.574752282336862708e+00
1.030000000000000000e+02,1.562257951808381673e+00
1.040000000000000000e+02,1.550058836424144548e+00
1.050000000000000000e+02,1.538140502601976989e+00
1.060000000000000000e+02,1.526489284211610453e+00
1.070000000000000000e+02,1.515092236479532284e+00
1.080000000000000000e+02,1.503933128201917491e+00
1.090000000000000000e+02,1.493008332956929918e+00
1.100000000000000000e+02,1.482302784619831115e+00
1.110000000000000000e+02,1.471806015489894870e+00
1.120000000000000000e+02,1.461511754389213991e+00
1.130000000000000000e+02,1.451410346831889076e+00
1.140000000000000000e+02,1.441492624948197410e+00
1.150000000000000000e+02,1.431749879974937523e+00
1.160000000000000000e+02,1.422177275460853707e+00
1.170000000000000000e+02,1.412766770321264298e+00
1.180000000000000000e+02,1.403507394989751855e+00
1.190000000000000000e+02,1.394395312087050476e+00
1.200000000000000000e+02,1.385423598735818773e+00
1.210000000000000000e+02,1.376585666386446638e+00
1.220000000000000000e+02,1.367872132499692306e+00
1.230000000000000000e+02,1.359280234991105285e+00
1.240000000000000000e+02,1.350804281059732714e+00
1.250000000000000000e+02,1.342435883273259245e+00
1.260000000000000000e+02,1.334172929068389690e+00
